,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.9726226234211133,0.9468929848083375,0.9109348425637278,0.8366654703703628,0.8348310668324906,0.7724261159025279,0.6705524576720414,0.7541375429843666,0.7659779395911381,0.9442371648466367,0.9357252915345126,0.8331493243024041,0.8361472011054146,0.7644717691221519,0.7676892195307813,0.9775512969339172,0.8239242213472591,0.7683897479112565
Fp2,0.9726226234211133,1.0,0.8933093947120809,0.9230545904626106,0.8058756690411012,0.8227281216738946,0.743968864368915,0.6470839655248316,0.722097719046757,0.7382553947930679,0.8942834182448828,0.9495242752498458,0.8007537947873956,0.8209820773827362,0.7302778215617114,0.7474842649273015,0.9545723257922475,0.8005092888366043,0.7389664673976981
F3,0.9468929848083375,0.8933093947120809,1.0,0.8928985573946165,0.8892959343904967,0.8677574128550286,0.8052737128870527,0.6945967849175884,0.7681153007291074,0.7774856552837319,0.9328173069405132,0.9092065281010063,0.8325945810121583,0.8599002718252569,0.7679317286662436,0.7770021192527223,0.9469895298765224,0.8704768750915571,0.8015536746618698
F4,0.9109348425637278,0.9230545904626106,0.8928985573946165,1.0,0.813918100861884,0.8864952638044475,0.7548803807458355,0.6589483415047553,0.7085622172608926,0.7150077258211717,0.8326160248160013,0.9322789199292902,0.7527811108137803,0.8221447059007898,0.7053932399946812,0.7212206568358237,0.9302362069982014,0.8569489020684552,0.7559609861929287
C3,0.8366654703703628,0.8058756690411012,0.8892959343904967,0.813918100861884,1.0,0.893363339403143,0.9138935410267065,0.7675060776979924,0.8408065369658234,0.837156557613523,0.8552204823650191,0.828717101673314,0.9002621906477224,0.8722639809479906,0.8479140114801376,0.841957583954908,0.8361175301884874,0.9261627555236369,0.8971661701800293
C4,0.8348310668324906,0.8227281216738946,0.8677574128550286,0.8864952638044475,0.893363339403143,1.0,0.8626867566855284,0.8035277902961854,0.8085015230987347,0.8161420937380885,0.8076331633105633,0.8675811726962559,0.8027690291073741,0.9096011125446148,0.7867342705370822,0.8357848944680211,0.8432958909368942,0.9480219377583615,0.874230814222715
P3,0.7724261159025279,0.743968864368915,0.8052737128870527,0.7548803807458355,0.9138935410267065,0.8626867566855284,1.0,0.8319630647774493,0.9195529071755183,0.8924672693997755,0.7866150520556846,0.7803683837829573,0.8487183399820735,0.8340196112405901,0.8781898186680529,0.8549505921218826,0.7788032737679387,0.8986068159367203,0.9798158296637931
P4,0.6705524576720414,0.6470839655248316,0.6945967849175884,0.6589483415047553,0.7675060776979924,0.8035277902961854,0.8319630647774493,1.0,0.8134446772927456,0.7980912610712325,0.672518395558534,0.6851818274967879,0.7117372829187407,0.7639134561358468,0.7809940742498462,0.7971762265878669,0.6611986289652964,0.7882472969239614,0.8593460614590854
O1,0.7541375429843666,0.722097719046757,0.7681153007291074,0.7085622172608926,0.8408065369658234,0.8085015230987347,0.9195529071755183,0.8134446772927456,1.0,0.9283194506781864,0.7902513305575725,0.7487229947316391,0.8512576903045371,0.8158593953237532,0.8926235933100879,0.8660940955993385,0.7351976483617984,0.8137569673071734,0.9047120965820532
O2,0.7659779395911381,0.7382553947930679,0.7774856552837319,0.7150077258211717,0.837156557613523,0.8161420937380885,0.8924672693997755,0.7980912610712325,0.9283194506781864,1.0,0.7990159123571874,0.76197030563811,0.8450630180551196,0.8488512780286508,0.865986767947449,0.9417687971957506,0.7480401251328092,0.8166928747118567,0.8791555002208233
