,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,25+,26+,27+
Fp1,1.0,0.9969079669827634,0.7966402939655309,0.9410985091339913,0.4835688082721704,0.5097763328209391,0.36208389598747803,0.3936949674528188,0.22447652887146857,0.32095700999419646,0.7288361800990266,0.9432784701583996,0.4129418437685,0.7108955881442002,0.2357341877080312,0.3456950998025243,0.8261551571066962,0.37227172911779544,0.3548448911986426,-0.01895877133480277,-0.003517896056743179,-0.006618855167576281
Fp2,0.9969079669827634,1.0,0.7863142736228755,0.9460949867163105,0.4842780154157184,0.514476663387796,0.3631878683879004,0.3995577058154688,0.23329858325522648,0.32793707439697234,0.7028072030497678,0.950852126387245,0.4074498042217537,0.7098170140789386,0.23458650628534855,0.35373588525107413,0.8251855412633919,0.3683391323259789,0.35110992718768996,-0.02008559452920281,-0.004521335675846797,-0.006102432371370633
F3,0.7966402939655309,0.7863142736228755,1.0,0.8481983640192572,0.7035296001865292,0.6246531170075262,0.4582212478235284,0.5188001931807847,0.4107097962135599,0.46902066794786734,0.7644011812004204,0.7448276848693458,0.5116985519385892,0.755190791022316,0.3334503748680957,0.47583018916729003,0.8941998508488281,0.5077920440315326,0.46386560788784814,-0.01791231485821777,-0.0006306833320150538,-0.005403252863471863
F4,0.9410985091339913,0.9460949867163105,0.8481983640192572,1.0,0.5500022819510793,0.5856229722237452,0.4023111892944375,0.47165752279831386,0.3292247754286829,0.4099178391695647,0.6785986508399975,0.9206726221153398,0.42181953661948224,0.7461095642798647,0.26564471759679287,0.4296493457944569,0.9168611415215491,0.4383637680481496,0.40851826561244103,-0.017187612857480758,-0.0031188920681772133,-0.007879326591747095
C3,0.4835688082721704,0.4842780154157184,0.7035296001865292,0.5500022819510793,1.0,0.7242984028499982,0.7857659090844519,0.6882530757783011,0.5950810588984281,0.6506440083933656,0.5364486100767304,0.4799860804789485,0.7002178373040351,0.7485294551611728,0.5831145291895518,0.6421992649188786,0.5834673674402459,0.7266289382568814,0.7305630052618064,-0.016433280370337297,-0.00639978089318102,-0.002793835385915772
C4,0.5097763328209391,0.514476663387796,0.6246531170075262,0.5856229722237452,0.7242984028499982,1.0,0.7161535557882569,0.894877024879035,0.7563292176695485,0.8325557747192494,0.5787974523033163,0.5446936704001476,0.6584764842644432,0.8233838168121423,0.5864665230895896,0.8540849581997491,0.5667592854542082,0.6929366243717354,0.7157349716330245,-0.014306642860169432,-0.0015978947262133719,-0.031487741508006296
P3,0.36208389598747803,0.3631878683879004,0.4582212478235284,0.4023111892944375,0.7857659090844519,0.7161535557882569,1.0,0.7102833972273604,0.6161070573802987,0.6703519242538212,0.47798296963564524,0.3641456701619579,0.6765109866753027,0.7173552531376849,0.7672465708932548,0.662387652153925,0.3792429236055255,0.7636469091284666,0.8346662846499332,-0.012284278457785392,-0.016391176307621606,-0.013129192992228051
P4,0.3936949674528188,0.3995577058154688,0.5188001931807847,0.47165752279831386,0.6882530757783011,0.894877024879035,0.7102833972273604,1.0,0.9054296814673624,0.9738344324265007,0.45843754960426963,0.4457684671649698,0.6668581301627723,0.7832032261504959,0.6443803566650117,0.9858473325314753,0.45692819189123357,0.6084131545827766,0.6861809982348348,-0.0076763307391682495,0.0041939095248933154,-0.0304768635561017
O1,0.22447652887146857,0.23329858325522648,0.4107097962135599,0.3292247754286829,0.5950810588984281,0.7563292176695485,0.6161070573802987,0.9054296814673624,1.0,0.9443919187785017,0.2713788961672215,0.2727418821281706,0.5330469522528922,0.6443145845433248,0.5922320569545964,0.9238500912238163,0.35096784411833104,0.4877200891195421,0.5610804923699136,-0.0022966087983966256,0.0074316462330463766,-0.029110783811841682
O2,0.32095700999419646,0.32793707439697234,0.46902066794786734,0.4099178391695647,0.6506440083933656,0.8325557747192494,0.6703519242538212,0.9738344324265007,0.9443919187785017,1.0,0.3695277769760497,0.37385759216000874,0.618521371012732,0.725043295226112,0.6255472675663506,0.9840845458753292,0.41135952557549577,0.539938052247416,0.6229146349091553,0.006536243885817644,0.006115800026320665,-0.026295158217121167
F7,0.7288361800990266,0.7028072030497678,0.7644011812004204,0.6785986508399975,0.5364486100767304,0.5787974523033163,0.47798296963564524,0.45843754960426963,0.2713788961672215,0.3695277769760497,1.0,0.65738143360423,0.6254111435773582,0.7373041298703911,0.40241507473491434,0.397079437229952,0.6451141990100796,0.4824911675252139,0.4663956856618317,-0.009504458806321706,-0.00409705495239186,-0.02211725292223355
F8,0.9432784701583996,0.950852126387245,0.7448276848693458,0.9206726221153398,0.4799860804789485,0.5446936704001476,0.3641456701619579,0.4457684671649698,0.2727418821281706,0.37385759216000874,0.65738143360423,1.0,0.39798996079759524,0.7074564575917509,0.22748094455164355,0.4066457397622508,0.775812400324016,0.34345521994841943,0.3432943557680037,-0.033788856150202703,-0.005754428383091023,-0.01655601738775199
T3,0.4129418437685,0.4074498042217537,0.5116985519385892,0.42181953661948224,0.7002178373040351,0.6584764842644432,0.6765109866753027,0.6668581301627723,0.5330469522528922,0.618521371012732,0.6254111435773582,0.39798996079759524,1.0,0.6956346008454175,0.6687693843447022,0.6377359875982213,0.40942433007533424,0.5526171240368524,0.6084740302044965,-0.018178756674366775,0.004149712297750591,-0.01675450956790849
T4,0.7108955881442002,0.7098170140789386,0.755190791022316,0.7461095642798647,0.7485294551611728,0.8233838168121423,0.7173552531376849,0.7832032261504959,0.6443145845433248,0.725043295226112,0.7373041298703911,0.7074564575917509,0.6956346008454175,1.0,0.5887962422634114,0.7405128782728587,0.7151046432634763,0.676703487462621,0.6889169058192682,-0.00161628772139163,-0.001098759352551985,-0.03261278561310268
T5,0.2357341877080312,0.23458650628534855,0.3334503748680957,0.26564471759679287,0.5831145291895518,0.5864665230895896,0.7672465708932548,0.6443803566650117,0.5922320569545964,0.6255472675663506,0.40241507473491434,0.22748094455164355,0.6687693843447022,0.5887962422634114,1.0,0.6129896367897978,0.26404780587925597,0.5011809902320477,0.5699938265780999,-0.005939713953537903,0.013643441610388095,-0.018787909612191345
T6,0.3456950998025243,0.35373588525107413,0.47583018916729003,0.4296493457944569,0.6421992649188786,0.8540849581997491,0.662387652153925,0.9858473325314753,0.9238500912238163,0.9840845458753292,0.397079437229952,0.4066457397622508,0.6377359875982213,0.7405128782728587,0.6129896367897978,1.0,0.41683780148584854,0.5419946105508171,0.6208899052165714,-0.004481445776355043,0.005474395935208166,-0.029446504517397137
FZ,0.8261551571066962,0.8251855412633919,0.8941998508488281,0.9168611415215491,0.5834673674402459,0.5667592854542082,0.3792429236055255,0.45692819189123357,0.35096784411833104,0.41135952557549577,0.6451141990100796,0.775812400324016,0.40942433007533424,0.7151046432634763,0.26404780587925597,0.41683780148584854,1.0,0.49130020024406035,0.4251184522368956,-0.010009716503814204,0.0010682067702657827,-0.003346611392170848
CZ,0.37227172911779544,0.3683391323259789,0.5077920440315326,0.4383637680481496,0.7266289382568814,0.6929366243717354,0.7636469091284666,0.6084131545827766,0.4877200891195421,0.539938052247416,0.4824911675252139,0.34345521994841943,0.5526171240368524,0.676703487462621,0.5011809902320477,0.5419946105508171,0.49130020024406035,1.0,0.9329841422163337,0.010208780971440751,-0.0025034653891641305,-0.014953779231206029
