,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,25+,26+,27+
Fp1,1.0,0.9824346758242914,0.8896903834225977,0.864376489342707,0.6472074187824308,0.6199391525141814,0.3390967309059921,0.4467917300492896,0.24028245737313492,0.22301123688523186,0.872592365711784,0.8655305347976087,0.48118315559734787,0.5952487261045825,0.09329801228505435,0.264434252718452,0.9879037346127124,0.6059467672272321,0.4713170220651157,0.006059529513383389,0.020136220770682108,-0.0376761606689544
Fp2,0.9824346758242914,1.0,0.8623009832533831,0.8973599916245903,0.6270697016717993,0.6338753313869986,0.3316543924195263,0.4548612387897839,0.24013778582137288,0.23048214402872022,0.8133085750654059,0.8984108254956086,0.4470016588983993,0.6102105507714832,0.08810705429104738,0.2760021663278528,0.9921078569680106,0.6091667211041824,0.470525261261424,0.008932180813878579,0.01959187700458727,-0.04165299199281031
F3,0.8896903834225977,0.8623009832533831,1.0,0.8089849689820916,0.8042618161557371,0.6983237611104715,0.48113145353164455,0.5499144418488906,0.3892915949574225,0.35722704601699784,0.8977171918386876,0.8059180375101427,0.6034282153728567,0.6258619917144947,0.2345985008403382,0.3433298623048178,0.8926073736563604,0.7131607762502469,0.5870965862614288,0.007508771177912412,0.011029086411677241,-0.03664582148177992
F4,0.864376489342707,0.8973599916245903,0.8089849689820916,1.0,0.655836702087352,0.7374277677237867,0.41241719747202255,0.560608890598148,0.33656241403299403,0.33352047773156496,0.7544183842476693,0.9996734971162916,0.4747542620177789,0.7581547115864373,0.1718572332211634,0.38529641045297963,0.884342977321425,0.6431657605408583,0.5292903586262381,0.019102050863703618,0.006488679391013091,-0.03845335766560161
C3,0.6472074187824308,0.6270697016717993,0.8042618161557371,0.655836702087352,1.0,0.782699228160612,0.7632039428632269,0.7044199869007757,0.5925804943809663,0.5225892552480028,0.7161328428980817,0.6504537401118616,0.7342896358124612,0.6437838713078806,0.4575701999486637,0.4458941630456765,0.6605266392389827,0.8292871034495488,0.782640707158219,0.0077892107644163665,0.014128175901274881,-0.032978261354505704
C4,0.6199391525141814,0.6338753313869986,0.6983237611104715,0.7374277677237867,0.782699228160612,1.0,0.6564975918389403,0.8951973222456517,0.5846747538143707,0.6018397150983645,0.6028415751087626,0.7314639805592142,0.5697532214740947,0.8460853765530387,0.37730052540126424,0.6406869386786846,0.6490607664597138,0.827356508862782,0.8028253838733668,0.017011053282121876,0.012595537966411708,-0.031477883100914705
P3,0.3390967309059921,0.3316543924195263,0.48113145353164455,0.41241719747202255,0.7632039428632269,0.6564975918389403,1.0,0.7291699636916482,0.8732872714095397,0.7310857333917721,0.4114734193319828,0.4062625358940761,0.6783054800566806,0.5385210766206987,0.8008107193869929,0.5422024848520268,0.3572386787713304,0.6371943744259665,0.8030037705229202,0.00939809310043903,0.021498864902333367,-0.02003929739952394
P4,0.4467917300492896,0.4548612387897839,0.5499144418488906,0.560608890598148,0.7044199869007757,0.8951973222456517,0.7291699636916482,1.0,0.7147978941192958,0.7919149788123145,0.4641102549984254,0.5554546120253947,0.5453647988331595,0.8194547142465919,0.48536070354955546,0.822824625161152,0.47064067349872024,0.7080128955376382,0.8278918993368577,0.012783444447973859,0.018201148555160425,-0.023273056047452594
O1,0.24028245737313492,0.24013778582137288,0.3892915949574225,0.33656241403299403,0.5925804943809663,0.5846747538143707,0.8732872714095397,0.7147978941192958,1.0,0.8767487677676699,0.29753727669999297,0.33061776704027857,0.5012704466696564,0.4809851939371773,0.7567257136384321,0.5875614946823562,0.26276812115068887,0.5271746529371516,0.7426460714046307,0.011238474211469838,0.01951202184489675,-0.016780186903874134
O2,0.22301123688523186,0.23048214402872022,0.35722704601699784,0.33352047773156496,0.5225892552480028,0.6018397150983645,0.7310857333917721,0.7919149788123145,0.8767487677676699,1.0,0.26236578985091835,0.32801381431590176,0.41396684720095556,0.5464370152277849,0.620090475045837,0.7541526472971719,0.2494865039204827,0.4759884326605487,0.6844470260961888,0.011974147165288381,0.01785068594257049,-0.01595941135661521
F7,0.872592365711784,0.8133085750654059,0.8977171918386876,0.7544183842476693,0.7161328428980817,0.6028415751087626,0.4114734193319828,0.4641102549984254,0.29753727669999297,0.26236578985091835,1.0,0.7538399529129761,0.6681119979183374,0.5936006887548955,0.19194049057107387,0.2836385949422598,0.8390292027133138,0.597746281098911,0.4908503439550438,-0.00012994273384152075,0.00803963641824548,-0.03025939212778583
F8,0.8655305347976087,0.8984108254956086,0.8059180375101427,0.9996734971162916,0.6504537401118616,0.7314639805592142,0.4062625358940761,0.5554546120253947,0.33061776704027857,0.32801381431590176,0.7538399529129761,1.0,0.4716475523346705,0.7555356870595472,0.1655683713030195,0.3826136804372471,0.8842407432082645,0.6373261941725362,0.5237512046296912,0.019336808127128517,0.006355423058552718,-0.03780873336447536
T3,0.48118315559734787,0.4470016588983993,0.6034282153728567,0.4747542620177789,0.7342896358124612,0.5697532214740947,0.6783054800566806,0.5453647988331595,0.5012704466696564,0.41396684720095556,0.6681119979183374,0.4716475523346705,1.0,0.5689459455763395,0.5897995866542246,0.4123222325181489,0.4732207815990664,0.5358363240299082,0.5581003893469205,0.004511199920629505,0.014083408182482124,-0.01625008633414285
T4,0.5952487261045825,0.6102105507714832,0.6258619917144947,0.7581547115864373,0.6437838713078806,0.8460853765530387,0.5385210766206987,0.8194547142465919,0.4809851939371773,0.5464370152277849,0.5936006887548955,0.7555356870595472,0.5689459455763395,1.0,0.32177695744093743,0.7632050698552784,0.6119982318609926,0.612185666419866,0.6240000106550243,0.022180948661761977,0.011258268096565549,-0.025069740620875223
T5,0.09329801228505435,0.08810705429104738,0.2345985008403382,0.1718572332211634,0.4575701999486637,0.37730052540126424,0.8008107193869929,0.48536070354955546,0.7567257136384321,0.620090475045837,0.19194049057107387,0.1655683713030195,0.5897995866542246,0.32177695744093743,1.0,0.449917602645484,0.11182594733979973,0.3195294053819856,0.48065934118290365,0.00773730551906211,0.01812081165688152,-0.00576540909761871
T6,0.264434252718452,0.2760021663278528,0.3433298623048178,0.38529641045297963,0.4458941630456765,0.6406869386786846,0.5422024848520268,0.822824625161152,0.5875614946823562,0.7541526472971719,0.2836385949422598,0.3826136804372471,0.4123222325181489,0.7632050698552784,0.449917602645484,1.0,0.2858457337685851,0.40554713811010523,0.5488330371636275,0.014520768743878625,0.026016901593550974,-0.013490039535816654
FZ,0.9879037346127124,0.9921078569680106,0.8926073736563604,0.884342977321425,0.6605266392389827,0.6490607664597138,0.3572386787713304,0.47064067349872024,0.26276812115068887,0.2494865039204827,0.8390292027133138,0.8842407432082645,0.4732207815990664,0.6119982318609926,0.11182594733979973,0.2858457337685851,1.0,0.6354448300345721,0.49475150521683664,0.007723494286721834,0.03809909906350965,-0.04324303518368532
CZ,0.6059467672272321,0.6091667211041824,0.7131607762502469,0.6431657605408583,0.8292871034495488,0.827356508862782,0.6371943744259665,0.7080128955376382,0.5271746529371516,0.4759884326605487,0.597746281098911,0.6373261941725362,0.5358363240299082,0.612185666419866,0.3195294053819856,0.40554713811010523,0.6354448300345721,1.0,0.8632212975079115,0.011321046581891297,0.02032802839710021,-0.03246784820564982
PZ,0.4713170220651157,0.470525261261424,0.5870965862614288,0.5292903586262381,0.782640707158219,0.8028253838733668,0.8030037705229202,0.8278918993368577,0.7426460714046307,0.6844470260961888,0.4908503439550438,0.5237512046296912,0.5581003893469205,0.6240000106550243,0.48065934118290365,0.5488330371636275,0.49475150521683664,0.8632212975079115,1.0,0.011659952149234189,0.026144240977681164,-0.02487701134181625
25+,0.006059529513383389,0.008932180813878579,0.007508771177912412,0.019102050863703618,0.0077892107644163665,0.017011053282121876,0.00939809310043903,0.012783444447973859,0.011238474211469838,0.011974147165288381,-0.00012994273384152075,0.019336808127128517,0.004511199920629505,0.022180948661761977,0.00773730551906211,0.014520768743878625,0.007723494286721834,0.011321046581891297,0.011659952149234189,1.0,-0.03589269162614504,-0.008431765855339368
26+,0.020136220770682108,0.01959187700458727,0.011029086411677241,0.006488679391013091,0.014128175901274881,0.012595537966411708,0.021498864902333367,0.018201148555160425,0.01951202184489675,0.01785068594257049,0.00803963641824548,0.006355423058552718,0.014083408182482124,0.011258268096565549,0.01812081165688152,0.026016901593550974,0.03809909906350965,0.02032802839710021,0.026144240977681164,-0.03589269162614504,1.0,0.014348051838561264
27+,-0.0376761606689544,-0.04165299199281031,-0.03664582148177992,-0.03845335766560161,-0.032978261354505704,-0.031477883100914705,-0.02003929739952394,-0.023273056047452594,-0.016780186903874134,-0.01595941135661521,-0.03025939212778583,-0.03780873336447536,-0.01625008633414285,-0.025069740620875223,-0.00576540909761871,-0.013490039535816654,-0.04324303518368532,-0.03246784820564982,-0.02487701134181625,-0.008431765855339368,0.014348051838561264,1.0
