,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.8764900674344722,0.5929389192355273,0.7108054144411877,0.5967042469496995,0.536572208758814,0.38300580834612785,0.2581791607691728,0.30250948133629835,0.3963213205523112,0.8294103045960332,0.6277462138672771,0.6389874955004005,0.5943690567976739,0.37948444140145277,0.4727383087333002,0.7453242880432389,0.5902286950760962,0.49263626180374587
Fp2,0.8764900674344722,1.0,0.6243688337702837,0.8159008289119956,0.6234195727494218,0.5967348420939695,0.4384906107817962,0.40963795995574936,0.4119024146288349,0.40090177475942357,0.8603935339562527,0.8349651526384834,0.6703393561442582,0.6802012569057682,0.48102287628673057,0.5321836764698251,0.8117323873983401,0.6329233621938134,0.5527257264606743
F3,0.5929389192355273,0.6243688337702837,1.0,0.6154985069854865,0.5075325051367455,0.4864815459632193,0.32050594713948,0.3441247659681136,0.19968415914444979,0.3487804371750606,0.515444456475602,0.5675109435830253,0.48066500035860193,0.3987904754102002,0.34817228612081574,0.3772495191345411,0.6479354418027691,0.4854125887113296,0.40947361295973395
F4,0.7108054144411877,0.8159008289119956,0.6154985069854865,1.0,0.7135377762673808,0.7816092076463443,0.48022780715657526,0.40370782166249564,0.3575935789835031,0.33348235869392107,0.7704552099348013,0.7691712891309214,0.6260598664368223,0.6449305146264549,0.40172978763165584,0.45453677254047986,0.899580776378033,0.7381730431636897,0.5353309341414662
C3,0.5967042469496995,0.6234195727494218,0.5075325051367455,0.7135377762673808,1.0,0.7631662079472314,0.614547377068665,0.4303501545142598,0.4847952091661932,0.45584552992725874,0.708032856339327,0.581789614780315,0.7364731736419866,0.6414648735547129,0.5599142409770052,0.575723381082716,0.7025730524864588,0.7359285019647676,0.6927925651643612
C4,0.536572208758814,0.5967348420939695,0.4864815459632193,0.7816092076463443,0.7631662079472314,1.0,0.6069878364713374,0.544443001562119,0.4476023425852115,0.4426497018714422,0.6161285632445135,0.5722587157201672,0.6399643679809528,0.6787597544493471,0.4843303054084821,0.595060061619243,0.6781255146466189,0.7289461226487416,0.6799638080738208
P3,0.38300580834612785,0.4384906107817962,0.32050594713948,0.48022780715657526,0.614547377068665,0.6069878364713374,1.0,0.7500495432892492,0.7265420204667806,0.5729974643323775,0.48593921562678516,0.4271816001984605,0.6565246529904751,0.5217452850547543,0.7898911201336377,0.6443276801351545,0.3584792971951454,0.46307615140460584,0.8861616540421146
P4,0.2581791607691728,0.40963795995574936,0.3441247659681136,0.40370782166249564,0.4303501545142598,0.544443001562119,0.7500495432892492,1.0,0.5814794301643935,0.5216068748368973,0.3927116464729489,0.44400037242859475,0.45974080814097473,0.522681234247574,0.6356696466044304,0.613145922034235,0.2827149929809683,0.37812086261514233,0.7752864387614166
O1,0.30250948133629835,0.4119024146288349,0.19968415914444979,0.3575935789835031,0.4847952091661932,0.4476023425852115,0.7265420204667806,0.5814794301643935,1.0,0.7713501776403764,0.42804703880926886,0.40845981875313053,0.5246753920902582,0.4999472645179385,0.7837063001721971,0.6762026656825597,0.29800446290133453,0.37509054509645184,0.7124302320399812
O2,0.3963213205523112,0.40090177475942357,0.3487804371750606,0.33348235869392107,0.45584552992725874,0.4426497018714422,0.5729974643323775,0.5216068748368973,0.7713501776403764,1.0,0.4141580293802462,0.35657345279809005,0.48877692596005373,0.4580730342074303,0.566200099907719,0.7232644623413608,0.3098291062853325,0.3588433923530341,0.6440553028213368
