Source,Target,F-statistic,p-value
FZ,Fp2,3172.8645744062474,0.0
FZ,Fp1,913.6518469620557,0.0
F4,Fp2,763.8854027902313,0.0
Fp2,F4,606.3299086147576,3.484787947003228e-259
C3,F3,505.0970853527478,1.074279219381758e-216
F8,Fp2,474.78425294277446,6.376625088261646e-204
F4,FZ,465.41643629510037,5.712611823407106e-200
CZ,F3,455.0490481038507,1.3596164630453025e-195
CZ,Fp2,390.52595748050095,2.7159533430016863e-168
CZ,FZ,372.8351186556183,8.667816243585032e-161
C4,CZ,371.41926925316335,3.4580091380584526e-160
C3,FZ,352.1338653116527,5.359689509538553e-152
Fp2,C3,334.92395611645384,1.1121765890508044e-144
C3,Fp2,333.85391440781586,3.172280326123907e-144
CZ,F4,316.3462806991117,8.982393586186217e-137
FZ,F3,294.8066306118487,1.3570534510956791e-127
Fp2,F3,288.2497182217787,8.496891671811132e-125
F7,Fp1,285.1578226268335,1.771781960723547e-123
F7,Fp2,274.8342795883401,4.5158719503505247e-119
Fp2,C4,258.91220372355957,2.8585286126924894e-112
F3,Fp2,258.3833295152234,4.8103311032646185e-112
CZ,Fp1,256.8507978238714,2.1736828577068055e-111
Fp1,C3,255.22768185541148,1.0739930577758564e-110
C3,CZ,244.29591243081526,5.077167395345248e-106
F3,C3,234.78914008686033,5.935345235267481e-102
F3,FZ,229.42711039558588,1.1717633325835814e-99
Fp1,F3,226.17553081531034,2.8917146357960973e-98
Fp1,F4,214.8890946764096,1.977589479101393e-93
C3,Fp1,213.82184233016753,5.66903427527311e-93
C4,FZ,202.78232608978544,3.0639479066936915e-88
Fp2,T6,201.89162318070495,7.383749246704968e-88
Fp2,P3,199.56618098939794,7.3398610841242095e-87
C3,F4,196.51872131963725,1.489353509314134e-85
CZ,F7,190.91720919205463,3.772211178953748e-83
C4,F4,189.94127833298452,9.895805530577956e-83
Fp2,T4,180.81523874645768,8.192861962346422e-79
Fp2,O1,179.5368958518974,2.9002092284814183e-78
C3,F7,174.80009611098671,3.140948869473266e-76
Fp1,T6,173.87014908929712,7.880933470270343e-76
Fp1,C4,173.34462166872214,1.3254426201929064e-75
T3,F7,167.25207305333848,3.6735977841047695e-38
F3,Fp1,165.4730471305146,3.199762487403872e-72
Fp2,F8,165.341609482319,3.644317291343308e-72
P3,CZ,160.08156217834,6.653089517081168e-70
Fp2,O2,152.93307652069132,7.897527884867563e-67
F8,FZ,150.42230584852203,9.498672317809695e-66
Fp2,FZ,150.2366163041265,1.1417106251200948e-65
Fp2,T3,148.2875559353771,7.874027272241679e-65
O1,O2,147.79393865195797,6.252684239256551e-34
Fp1,T4,146.42705461717043,4.9753895449657635e-64
C4,Fp1,143.7152496038813,4.8271958754304186e-33
C4,Fp2,139.3821841133749,5.361484827900869e-61
F4,Fp1,139.25703951686754,6.069674820574619e-61
F8,Fp1,135.23857989321388,3.2622265341988126e-59
CZ,F8,134.1546935211208,9.556731665041657e-59
T3,Fp2,130.65201300451673,3.083305929218141e-57
C4,F3,127.03784204178507,1.1119610562790203e-55
C4,F7,119.6276934388368,8.548523961040841e-28
T6,Fp1,115.51673746359627,1.0279997091439346e-50
