source,target,consistency
FZ,F3,0.9473684210526315
F4,F3,0.8508771929824561
Fp2,F3,0.8026315789473685
F4,F8,0.7763157894736842
CZ,F3,0.7368421052631579
Fp1,F3,0.7368421052631579
F4,Fp2,0.7236842105263158
Fp2,F8,0.706140350877193
F4,Fp1,0.7017543859649122
PZ,CZ,0.6973684210526315
F4,F7,0.6973684210526315
FZ,F8,0.6929824561403509
FZ,F7,0.6798245614035088
F8,F7,0.6710526315789473
Fp1,F8,0.6535087719298246
FZ,Fp2,0.6403508771929824
CZ,C3,0.6359649122807017
F8,F3,0.631578947368421
F7,F8,0.631578947368421
FZ,F4,0.6271929824561403
F8,Fp2,0.6228070175438597
F8,Fp1,0.618421052631579
FZ,Fp1,0.618421052631579
F3,CZ,0.6140350877192983
F8,FZ,0.6140350877192983
F4,FZ,0.6140350877192983
T6,F3,0.6096491228070176
F3,F8,0.6096491228070176
C4,C3,0.6052631578947368
F7,F3,0.6008771929824561
T5,CZ,0.5921052631578947
P4,CZ,0.5877192982456141
Fp2,F7,0.5877192982456141
CZ,F4,0.5657894736842105
P3,CZ,0.5657894736842105
F3,F7,0.5657894736842105
C3,F7,0.5614035087719298
C4,F3,0.5614035087719298
CZ,C4,0.5614035087719298
T5,F3,0.5614035087719298
T5,FZ,0.5570175438596491
T6,CZ,0.5570175438596491
T6,C4,0.5526315789473685
P4,F3,0.5526315789473685
T6,T5,0.5526315789473685
C4,F4,0.5482456140350878
F3,C3,0.5482456140350878
P4,C4,0.5482456140350878
F4,C3,0.5482456140350878
F3,Fp1,0.543859649122807
C3,F3,0.543859649122807
PZ,C3,0.5394736842105263
F7,Fp2,0.5394736842105263
T4,T3,0.5394736842105263
PZ,C4,0.5350877192982456
T6,Fp2,0.5350877192982456
T3,T4,0.5307017543859649
PZ,F3,0.5307017543859649
T6,F7,0.5307017543859649
T4,F8,0.5307017543859649
T4,F3,0.5263157894736842
C3,FZ,0.5263157894736842
C4,F8,0.5263157894736842
F3,Fp2,0.5263157894736842
FZ,C3,0.5219298245614035
CZ,FZ,0.5219298245614035
T6,T4,0.5219298245614035
P4,P3,0.5219298245614035
Fp1,F4,0.5219298245614035
Fp2,Fp1,0.5175438596491229
F8,CZ,0.5175438596491229
F8,F4,0.5175438596491229
T3,F3,0.5175438596491229
Fp2,F4,0.5131578947368421
T5,Fp1,0.5131578947368421
Fp2,O1,0.5087719298245614
T3,F7,0.5087719298245614
F4,CZ,0.5087719298245614
Fp1,P3,0.5087719298245614
P4,T5,0.5087719298245614
T5,P3,0.5087719298245614
T4,CZ,0.5087719298245614
P3,F3,0.5087719298245614
T5,F4,0.5087719298245614
Fp2,T5,0.5043859649122807
F3,C4,0.5043859649122807
T6,FZ,0.5043859649122807
T6,Fp1,0.5043859649122807
