Source,Target,F-stat,p-value
F3,Fp1,3708.8790640299067,0.0
F7,Fp1,2727.2893972064626,0.0
F8,Fp2,2391.2485966100476,0.0
C3,Fp1,2379.4656817715654,0.0
F3,Fp2,2252.6136281336603,0.0
C3,Fp2,2223.005232407357,0.0
C3,F3,2206.8588264931736,0.0
C3,F7,2177.0496099262614,0.0
F8,Fp1,2160.345852088892,0.0
FZ,Fp1,2072.661182231552,0.0
Fp1,F3,2039.9090525485262,0.0
F4,Fp1,2038.6645138436681,0.0
F4,Fp2,2031.8130050987413,0.0
CZ,F3,1850.0936663119187,0.0
C3,F4,1802.7184071788736,0.0
C4,Fp2,1749.4004517178728,0.0
Fp1,F7,1736.3291163766867,0.0
CZ,F4,1721.899156055334,0.0
CZ,Fp2,1584.420543130736,0.0
CZ,FZ,1572.228926035157,0.0
C4,F3,1542.3058174544483,0.0
FZ,Fp2,1538.6922732149749,0.0
C3,FZ,1528.6022449702405,0.0
C4,F4,1500.705569491642,0.0
C4,Fp1,1498.2166408517605,0.0
C4,FZ,1408.2211116596677,0.0
T3,Fp1,1386.673279059758,0.0
CZ,F7,1353.9346085478312,0.0
CZ,Fp1,1320.4465832773801,0.0
F8,F7,1311.150409984273,0.0
T3,F7,1311.1279882749257,0.0
C4,F7,1295.7159655379974,0.0
C4,F8,1261.6327731143463,0.0
T3,F3,1252.1287059992953,0.0
Fp2,F8,1249.5311158278246,1.9918500215203504e-272
T3,Fp2,1100.1730337669626,0.0
PZ,F3,1096.2128295067082,0.0
C3,F8,1082.7162446889063,0.0
CZ,F8,1069.786519064503,0.0
P3,F3,993.7520654728695,0.0
F7,Fp2,950.0789596475779,0.0
PZ,F4,928.4358358463027,0.0
T4,F4,884.904742500526,0.0
T4,Fp2,883.4883765965027,0.0
C4,C3,849.5316014236919,0.0
P4,F4,822.0612127949046,0.0
Fp2,C3,804.4621793540814,1.965144172214504e-176
Fp2,Fp1,799.5521940091106,0.0
P3,F7,793.954506835031,0.0
PZ,F7,790.8471777199451,0.0
Fp1,C3,785.0921172430728,3.0173309903688516e-172
F4,F7,767.2345694068662,0.0
F3,C3,763.38283785221,1.486897945336595e-167
Fp1,FZ,759.8907851516453,0.0
T3,F4,751.4621119481269,0.0
T4,F8,739.4120039676988,4.6027e-320
F7,C3,735.3796004860075,1.685882086115206e-161
C3,C4,709.882943051232,2.2286688467331746e-307
T4,Fp1,708.8691736951846,6.07628213853273e-307
PZ,Fp2,701.0458380707902,1.3975275530724685e-303
F8,F3,699.6283372397257,5.682102273416584e-303
PZ,FZ,692.4636135479653,6.817644787780475e-300
T3,FZ,676.3198213241786,5.926986552914457e-293
P3,F4,674.4658410851034,3.714076491155833e-292
P3,Fp1,666.4920788161045,9.953694966532012e-289
F8,F4,657.9965907666127,4.475822627634699e-285
Fp2,F4,655.0317103777973,8.429877067250608e-284
Fp1,F4,649.2067492942679,2.6966062323021153e-281
T3,F8,643.6842917490806,6.396255966545332e-279
PZ,Fp1,636.453595502827,8.241647561745956e-276
P4,F3,632.4358801990834,4.408302153695183e-274
P3,Fp2,619.3058385960336,1.9633910194572396e-268
P4,Fp2,614.4651720208549,2.375817523507768e-266
T5,F3,613.7671563205652,4.744195864063563e-266
F4,F3,597.4744644941076,4.8713293490935145e-259
P3,FZ,573.1789590921053,1.4005325847825882e-248
T4,F7,562.117476100823,8.114598315124711e-244
Fp2,FZ,557.8387693785648,5.64743808195684e-242
F8,FZ,556.2404545839619,2.7553766185439855e-241
F3,F4,540.2521986284893,2.1212193369351696e-234
FZ,C3,525.2069332623114,5.258616689487671e-116
F4,C3,521.4184174765472,3.482158046871828e-115
P4,F7,511.78465477277695,3.9095048903047334e-222
C4,T3,506.65625628349403,6.34312764210415e-220
P4,Fp1,506.3781239036755,8.359394222181266e-220
T5,F7,495.3546654677538,4.715660096788997e-215
T4,F3,495.34203199163767,4.775163744302971e-215
Fp1,O2,493.07968416092,4.830693945032586e-109
Fp2,O2,487.8766794225984,6.4853085859297695e-108
Fp2,F3,480.1455382251699,1.6995125157045993e-208
P4,FZ,464.28993762648696,1.1678945210764306e-201
Fp1,F8,461.90106826048816,1.2521236419305309e-200
F7,O2,457.2064545314249,2.89812755993235e-101
T4,FZ,437.99616161305335,2.5651644441767476e-190
C3,CZ,435.02686261237403,4.899955468851113e-189
Fp2,CZ,431.58936323890845,1.0436525371633003e-95
C4,CZ,426.3602154332781,2.689461682507295e-185
F4,CZ,421.8745516938384,1.3372337279141137e-93
T5,Fp1,398.43985902631385,3.0201032487434232e-173
PZ,F8,395.74861011348366,4.383549204055965e-172
F3,P3,391.5267511413649,2.9139671406852192e-170
F7,CZ,389.9176051754988,1.151505564690886e-86
Fp1,CZ,385.5023890059837,1.0463168454412939e-85
FZ,F7,383.34658304190845,9.916364130548777e-167
P4,P3,377.6630804693282,2.8217381745923312e-164
F7,T3,372.6560347591437,6.434655299296652e-83
F8,C4,372.2876577831512,5.913490904018054e-162
F3,F7,370.93310852284725,2.274172085340134e-161
T5,Fp2,358.6526021400132,4.579959627994334e-156
P4,F8,357.09509611805237,2.1559056753756802e-155
T6,Fp2,353.5752292994834,8.949988381844775e-79
T4,T3,347.53709143032745,2.901191952301526e-151
PZ,CZ,346.91560587575685,5.383585092661161e-151
Fp1,T6,346.3198123714306,3.3698867736686044e-77
T6,Fp1,342.8305113822158,1.929812953393777e-76
FZ,CZ,340.83338738748773,5.2399009367694433e-76
Fp2,T6,330.841655526143,7.760691828819388e-74
F7,F3,328.971370558809,1.9780430869170072e-73
Fp1,T3,327.4260503647686,4.2852804144061574e-73
C3,T3,325.89497166714943,6.515067513010269e-142
P4,C3,324.1091165333539,3.852168380440344e-141
Fp2,T3,320.2928066584488,1.5201781700491853e-71
PZ,C3,308.92015729363993,1.4148200617660543e-134
CZ,C3,308.3776215986792,2.4278657091120535e-134
T3,C4,307.83022635025344,4.1864962927685155e-134
T6,F7,303.413627990225,7.082336212243014e-68
O2,Fp1,302.9899066168581,8.755408138304611e-68
CZ,T3,299.9120846879964,1.1089067903733623e-130
F7,T6,299.7363612182387,4.4615850106910016e-67
P3,F8,293.55023708520747,6.243720215901188e-128
FZ,F3,292.08853098754867,2.6757786255406614e-127
Fp2,O1,287.62092877078936,1.920264757112443e-64
T3,T4,287.40884113590454,2.8244237028813465e-125
Fp2,T5,284.58823611811147,8.765135068981131e-64
F4,C4,282.76960496691527,2.8645639151877113e-123
FZ,O2,276.296481939547,5.569740854914613e-62
O1,F3,275.20796635806363,5.335958367640383e-120
F3,PZ,274.8217647306294,7.838656591615715e-120
PZ,O2,269.27583916423026,1.9629930200051703e-117
T5,F4,268.5488160187123,4.049296511594382e-117
FZ,F4,265.44583150475404,8.903457160080654e-116
Fp1,O1,263.0035397855859,4.335937279907406e-59
F3,C4,261.6829263552186,3.778045473024282e-114
F4,FZ,259.7251562385648,2.6556475870417635e-113
FZ,T6,252.4043887651824,8.770443387289659e-57
P3,P4,251.07168370911378,1.4717643457098826e-109
F3,O2,250.98553270837706,1.7854516156798468e-56
T5,FZ,250.15478908229943,3.6688854545472497e-109
C4,P3,247.4183311899898,5.604018101655693e-108
F4,P4,244.4897727477429,1.036654356438211e-106
PZ,C4,243.71986814446464,2.232374846124575e-106
T5,T3,243.53132132767485,2.6937097418666365e-106
T3,CZ,241.8432749164718,1.4480183686537145e-105
F4,O2,236.30868004648545,2.791703045839941e-53
P3,O2,235.2954626531329,9.867571423063274e-103
P4,O2,233.22294337087723,7.782342799814087e-102
PZ,T3,231.73279710074374,3.435587241114691e-101
Fp2,C4,230.8995853125275,7.881273241519241e-101
P3,CZ,230.65683868250255,1.003812370802377e-100
O2,F3,228.85214674514037,6.063190567081733e-100
Fp2,F7,225.64776603502864,1.4776466150986922e-98
O2,F4,225.08167009320942,2.5976835730587825e-98
PZ,P3,224.1629302339873,6.489877170568276e-98
T6,F3,221.63445001093675,4.371171466145194e-50
F7,P3,216.96751802413706,8.448027984831176e-95
O1,P4,215.289333036056,4.499899553906148e-94
F7,F4,213.58354517871462,2.4638701075859286e-93
F8,CZ,212.8651843860113,5.041888347057219e-93
O1,P3,212.55526552681675,6.866838886157975e-93
Fp1,T5,211.48634978526724,7.090701343443432e-48
Fp2,PZ,210.8506068518078,9.753605047635896e-48
O2,T6,210.55020571036454,1.1339625512632123e-47
P3,C4,209.76471849504594,1.1086916843330571e-91
T6,FZ,205.87129442798337,1.185325734349468e-46
F3,T6,204.85535985297886,1.973171147406316e-46
P4,CZ,203.90897905231043,3.801725448354201e-89
T4,C3,202.20763312225247,2.0730007903666026e-88
Fp1,PZ,199.00266902191873,3.718286967143917e-45
PZ,P4,196.6850567141053,5.102670793510368e-86
P3,T3,195.6800338587429,1.3898879787838928e-85
Fp1,C4,194.48138220128644,4.592121549299723e-85
F7,C4,192.9526930106197,2.1084904285634567e-84
P4,T3,191.4832743981771,9.125964053392316e-84
Fp2,P3,190.96329695169638,2.100618056595304e-43
O2,P3,190.63247021690236,2.131629454487055e-83
T6,F4,189.4662673253934,6.819191543543867e-83
F3,P4,188.5548795408128,1.6920501510482665e-82
F8,C3,187.8954730621932,3.2656932539029603e-82
C3,P4,186.7918579879034,9.815504126444298e-82
T4,O2,185.6380702371331,3.101604296782018e-81
F4,T6,182.10206517784113,1.7948117562483896e-41
F7,PZ,181.9335017665185,1.2473608712068402e-79
O1,F4,179.5315684815367,1.3686412201522728e-78
O1,F7,178.78354119589625,2.8858531824317314e-78
CZ,O2,175.16307619581053,1.067621082992194e-76
O2,Fp2,174.58361470474003,1.9028695090947143e-76
CZ,C4,174.54381228981495,1.9799278967844165e-76
O2,FZ,173.9760944747685,3.4878418534574425e-76
F7,O1,172.93826966345597,1.7877759905961515e-39
F8,T3,172.4208049752234,1.6452899309502649e-75
O1,FZ,172.17080470313775,2.1112198726200275e-75
Fp2,T4,165.67849659900384,1.3705929587892769e-72
O2,PZ,162.7154799247927,2.633520272810178e-71
C4,O2,161.76513352413323,6.796021281266557e-71
FZ,F8,161.5543892169204,8.386025432032114e-71
Fp1,Fp2,161.1111995767785,1.3048530959680006e-70
O2,F7,161.05297704456876,1.382884084807224e-70
T3,O2,160.7810174608826,1.813882039509644e-70
F3,F8,160.1740178372298,3.3234272061574137e-70
F3,FZ,159.1990643552871,8.789841672729917e-70
O1,Fp2,157.1926101322951,6.505628934534913e-69
P3,C3,156.10855978569742,1.9185429461148937e-68
O1,Fp1,151.5092640526897,1.8870175095964245e-66
C3,T4,149.39509163910867,1.5554675118169693e-65
F7,FZ,146.49523996588275,2.8082363100450192e-64
Fp1,T4,143.8451066349208,3.9522627646671244e-63
F8,P4,143.41316746584786,6.081731500533028e-63
F3,CZ,142.09957364752267,2.255705712155264e-62
F8,O2,141.57657734076378,3.8012789834388996e-62
O2,P4,139.70658461445336,2.4565763470734016e-61
F7,T4,139.2028508520963,4.061044626634006e-61
O1,PZ,136.12290474194157,8.779242537338866e-60
T4,CZ,135.3583435498848,1.8828694590397596e-59
P4,PZ,132.77985877219987,2.468150643133492e-58
PZ,O1,132.086370855123,1.4813234047641698e-30
FZ,C4,131.82720992473304,6.38666377368513e-58
PZ,T6,131.40463160281232,2.0875946506714792e-30
F8,T4,131.10210130547338,1.3169178134345137e-57
F4,T4,130.40812799119118,2.632397741186841e-57
T5,F8,130.3460370354658,2.8006839507439584e-57
O2,F8,129.68213228613834,5.432845740530777e-57
C3,O2,126.26059531560225,1.6523658741372874e-55
P3,O1,125.73374357718927,2.7956256856579056e-55
C3,PZ,124.99350690709333,5.261883520056846e-29
F7,P4,124.77444975632369,7.282925064090283e-55
FZ,O1,123.7438425634414,9.87172554693144e-29
F3,T3,123.01487129633551,4.217442455705262e-54
F7,T5,121.94910400996665,2.437098615107349e-28
F3,T5,121.11674810187294,2.804605096146891e-53
T5,O2,120.75768752486748,4.0135115358251732e-53
T3,C3,118.85505878769905,2.6811948360795545e-52
F4,O1,117.75052214218516,2.0194611682460773e-27
T4,C4,117.08037716468822,1.5764768319092892e-51
O2,O1,114.99967594322025,1.2581678909509367e-50
T3,P4,112.21820552715572,2.0213427706008573e-49
Fp2,P4,111.44389658248404,4.378740501997738e-49
T6,P3,110.03781960358052,9.840873286430536e-26
T6,PZ,108.73229385408892,1.9003536548046792e-25
O2,T5,107.79947806741234,3.0413271914986795e-25
F4,PZ,105.49593176384359,1.6606528536094744e-46
Fp1,P3,104.04489639127654,7.07060673233434e-46
T4,P4,103.17017017069816,3.139444287580122e-24
O1,CZ,101.77152561539611,6.842770090098219e-45
C4,PZ,101.44027947469004,9.525092033263516e-45
O2,CZ,100.05247326016057,3.8077382990709275e-44
F7,F8,99.99864384206538,4.0179963068913014e-44
F4,P3,99.923156186349,4.3325524092113066e-44
