window_idx,start_time,n_connections,mean_strength,max_strength
0,0.0,296,15.53207825992878,308.32695647351153
1,7.0,242,10.238741073548637,178.90336932591717
2,14.0,272,18.04745638439752,258.3794059550924
3,21.0,242,9.0617085511324,160.44705702160036
4,28.0,290,12.822114923931228,193.30533916962946
5,35.0,284,11.65818972561499,148.09103238142447
6,42.0,292,13.214413851647725,163.7157168862896
7,49.0,309,18.062564056459603,170.7878985679516
8,56.0,263,15.263058166919263,101.56770497198289
9,63.0,265,9.5479103158113,140.75881057292378
10,70.0,303,18.238421070945282,431.06204548274457
11,77.0,291,13.692323377632158,408.58547896549874
12,84.0,310,15.627765874194969,66.47891121328793
13,91.0,289,10.750271708939653,85.57925038313377
14,98.0,271,15.750586080853115,337.91175278551316
15,105.0,252,13.115437112265393,195.68567483839738
16,112.0,260,11.566644725089189,160.30251523641851
17,119.0,247,10.820338367491571,152.1721374848479
18,126.0,291,15.928833502513745,258.95330253070966
19,133.0,288,13.880244136584812,259.94739324836405
20,140.0,276,12.782127039322324,166.87311415410414
21,147.0,284,11.820790063403761,124.14789954930035
22,154.0,268,11.072498931732605,218.71177827106072
23,161.0,275,13.923909638695976,353.85584771658074
24,168.0,285,13.259475025066985,211.99089426323866
25,175.0,266,11.039125763806853,150.29620033427543
26,182.0,266,12.10183264488736,137.09836721080765
27,189.0,241,10.784932084767643,146.9438808193221
28,196.0,285,18.288095465930137,193.52081499429738
29,203.0,274,11.534881747666361,159.15809624097668
30,210.0,280,18.042616815372583,227.25664031310225
31,217.0,300,18.91353888091159,344.24852436803826
32,224.0,292,17.24404583545068,452.63402734978104
33,231.0,262,10.684223102322477,218.56494273433142
34,238.0,247,12.306556019700368,157.64012982909105
35,245.0,279,13.922965046910736,152.63845316200914
36,252.0,278,15.302414977666238,266.9086213441488
37,259.0,268,10.830235749946073,285.38394341159255
38,266.0,265,10.937336750767743,154.90924455103868
39,273.0,309,34.87047382389583,295.0200227360954
40,280.0,229,9.922819274662148,195.48594610441924
41,287.0,208,6.88043574833695,201.64865074544383
42,294.0,278,11.325269156311222,140.30909101036005
43,301.0,277,12.274332302540701,180.23840190454592
44,308.0,230,9.343996055195547,247.3398991139358
45,315.0,236,10.074373858809336,138.0919380874718
46,322.0,243,12.022421030065845,113.0763806283872
47,329.0,202,8.162237326888073,149.6996854734206
48,336.0,230,10.791195416941566,140.64478963524334
49,343.0,225,8.253066730486651,122.97869105993747
50,350.0,255,8.630929103294209,102.82356549203861
