Source,Target,F-stat,p-value
C4,F8,2695.203088460935,0.0
CZ,F8,2277.3182423298504,0.0
F4,CZ,1878.3884232900064,0.0
FZ,CZ,1859.0993848972662,0.0
CZ,F4,1697.2601536357313,0.0
CZ,FZ,1673.1050234510583,0.0
C4,F4,1475.2063631554083,0.0
F4,C4,1397.436945320537,0.0
Fp2,CZ,1331.2032153445252,0.0
FZ,C4,1294.9624146374538,0.0
Fp1,CZ,1282.202704954937,0.0
C4,FZ,1252.8483484879137,0.0
C3,F8,1233.4561110609618,0.0
F8,CZ,1208.2144468341912,0.0
T4,F8,1159.47101459144,0.0
F7,F3,1113.248301873287,0.0
F4,PZ,1095.6124988489512,0.0
C3,F7,1092.7590662390432,0.0
F8,C4,1039.9769161615102,0.0
F3,CZ,1008.3330835280411,0.0
F4,C3,1007.4782561117663,0.0
FZ,PZ,1002.0727521921407,0.0
PZ,F8,975.2073063212891,0.0
FZ,C3,973.9570504307795,0.0
F4,T6,963.8955548267678,0.0
CZ,F7,941.059507202834,0.0
Fp1,T6,924.7641931784941,0.0
Fp2,FZ,923.3500561383889,0.0
FZ,Fp2,922.7596192866295,0.0
FZ,T6,906.0593603446475,0.0
Fp2,C4,898.708337821308,0.0
CZ,Fp2,878.9012467166264,0.0
Fp1,C4,868.2306349588953,0.0
F4,P3,851.8648581478207,0.0
Fp2,T6,829.0132765313415,0.0
P4,F8,822.5825950628924,0.0
Fp1,PZ,819.9023257838473,0.0
Fp2,C3,817.6550421461236,0.0
Fp2,PZ,806.1582589452483,0.0
P3,F8,802.2369781296836,0.0
Fp1,C3,791.0379290761445,0.0
T4,O2,789.4755954213288,0.0
F3,T6,778.592478311082,0.0
FZ,P3,764.5513975467749,0.0
F3,C3,750.2728177930268,5e-324
C4,T4,740.7473720093385,7.633e-320
P4,F4,740.0044908011334,1.58546e-319
F7,Fp1,738.8222709462627,5.07455e-319
T4,P4,735.5731769309364,1.2416813e-317
CZ,Fp1,728.598051559787,1.189598096e-314
F8,C3,721.4378543841674,1.36887196367e-311
C3,F3,696.0887276976335,9.480731631206925e-301
T4,PZ,694.369613115918,5.1550281267212136e-300
P4,FZ,684.5137466229068,8.488335454483095e-296
Fp1,FZ,683.4359941033372,2.454522749789958e-295
F8,P4,673.6752119736954,3.688598693696708e-291
C3,F4,662.6603048672896,1.9119962163304488e-286
C3,FZ,656.2607135578359,1.0499540339885773e-283
F3,PZ,654.3124558538412,7.166386429352323e-283
CZ,F3,646.5606920037269,1.494513800750546e-279
F4,F8,645.1641144844151,5.923174861866702e-279
FZ,O1,636.8472712384394,2.1599312062808673e-275
F8,O2,636.2751785622364,3.7973071625465476e-275
FZ,P4,633.5863630556393,5.384880271776424e-274
Fp2,P3,616.1820673372248,1.5402042811926908e-266
F8,PZ,616.0855751317215,1.694047731822979e-266
F3,F8,612.9403527235469,3.7732360258335587e-265
F4,O1,612.917470562609,3.8593996644490043e-265
F3,C4,608.7744066297505,2.30167115689145e-263
Fp1,P3,606.1915925507174,2.944402722399106e-262
T4,T5,600.2526983019602,1.0340693069470488e-259
F7,CZ,595.053103041277,1.751820112913494e-257
F4,P4,592.1207448512263,3.166873407662e-256
