Source,Target,F-stat,p-value
F4,F8,2266.2171880794517,0.0
F4,Fp2,1868.8831972630626,0.0
C3,F3,1679.860123119193,0.0
T3,Fp1,1664.5928036735218,0.0
FZ,F8,1631.3299053045114,0.0
T3,Fp2,1599.1454590060096,0.0
T3,F8,1594.5073570873233,0.0
FZ,F4,1562.0502601100227,0.0
F3,F8,1535.3143274831764,0.0
FZ,Fp2,1507.4509449587338,0.0
F4,F7,1455.2122842948304,0.0
C3,C4,1446.4448911356492,0.0
T3,T4,1423.0855022546382,0.0
F4,F3,1397.3373288693376,0.0
F7,Fp1,1358.1268949590979,8.525935687593545e-296
C4,C3,1303.6208644945152,0.0
F7,F8,1292.1017454639095,0.0
F3,F7,1274.8509043410568,0.0
F4,Fp1,1267.1579646163423,0.0
T3,F7,1249.9954047056594,1.582353169031459e-272
Fp1,F8,1244.9794703816265,0.0
F3,F4,1234.388621693055,0.0
FZ,Fp1,1168.5000958675755,0.0
C4,F8,1164.0964562758274,0.0
T6,O2,1159.3557277293048,5.243536466447978e-253
C3,F4,1146.5641342836893,0.0
PZ,P4,1144.6257323348163,0.0
F3,Fp2,1133.570475659834,0.0
C3,FZ,1106.8450386917073,1.0841437349835174e-241
FZ,F3,1090.9272947456745,0.0
F8,Fp2,1032.5887500002323,1.1090228905970629e-225
Fp2,F8,1018.6386517517428,0.0
T3,F3,1017.6519963549534,1.847367118461273e-222
T4,Fp2,1010.302240156405,7.110902653225456e-221
CZ,C4,1008.6179973656698,0.0
P4,P3,1002.3373919416912,0.0
O2,T6,982.3568065884525,7.599246171270997e-215
P3,P4,960.013577608595,0.0
T5,T6,950.5115019668008,0.0
T3,F4,944.0106862730962,1.4314288166473874e-206
Fp1,Fp2,931.6353959570865,0.0
FZ,F7,882.6063386868209,0.0
C3,F8,875.3537339863033,0.0
C4,F3,865.8087006236304,0.0
F3,C3,854.9631538931541,2.4134694412965583e-187
C3,T4,850.2223992292111,0.0
F7,Fp2,848.9252141195066,0.0
P3,T4,844.1895975083299,0.0
P3,T6,828.3214521515654,0.0
F3,Fp1,825.5850095870286,0.0
T4,F8,823.9718538124633,1.1960135957051358e-180
CZ,F4,812.1553880941549,0.0
C4,T4,808.1381908973294,0.0
CZ,C3,803.5642753693835,0.0
T4,Fp1,799.785989975064,2.013436096417611e-175
C4,PZ,759.3725595414464,0.0
F8,Fp1,733.7532296101635,3.788885378540393e-161
C3,Fp1,729.3438260495551,3.40425449857162e-160
Fp2,F7,725.4952233598373,4.3717853583e-314
C4,FZ,724.8142031314511,3.247659904797339e-159
F8,F7,721.508981522068,2.254699928005e-312
T5,T4,715.6697492022853,7.27311418622294e-310
O1,T6,704.193257188878,6.206586967861273e-305
P4,T4,699.4325919315073,6.896496632382801e-303
T5,O1,696.8149633271655,3.6935772410897956e-153
O2,O1,655.8306304724608,3.821788045910684e-284
T5,F7,655.4427002320783,3.301571317198427e-144
T6,F8,651.2084997217548,2.722910154432364e-143
CZ,F3,650.8973965132986,5.055223229166133e-282
Fp2,F4,648.2293279123697,1.2016315328474045e-142
CZ,F8,648.0008777858477,8.900698449272926e-281
T6,O1,642.9091364589838,1.7028988102395045e-141
C3,F7,638.4969946698144,1.0890981158427016e-276
T5,F8,638.3806073296817,1.626745240914896e-140
Fp1,T3,635.5883422068673,6.541608927547351e-140
C4,Fp2,632.5749940909569,3.8408600954949926e-274
PZ,P3,630.108907655104,4.4186309214830196e-273
O1,T5,629.3763854619014,1.446362014916344e-138
Fp1,F3,626.8487292343892,5.0982138273676744e-138
PZ,T4,624.9852763870988,7.071200978073126e-271
