edge,min_value,max_value,jaccard_min_over_max,subject_id
Fp1-Fp2,10.179489171474643,11.274826290313218,0.9028510869582411,sub-NORB00064
Fp1-F3,9.40049668268706,10.972361467443118,0.8567432553675841,sub-NORB00064
Fp1-F4,7.031643698071539,9.417352338784985,0.7466688560766701,sub-NORB00064
Fp1-C3,4.252823060764269,6.395101954912734,0.6650125503467915,sub-NORB00064
Fp1-C4,3.817983413676862,4.892195566245694,0.7804233011491832,sub-NORB00064
Fp1-P3,1.4275996365623398,3.2465695169085906,0.4397255716001768,sub-NORB00064
Fp1-P4,1.5324714733312648,3.5573027616400337,0.43079590802800966,sub-NORB00064
Fp1-O1,0.7316862181975268,1.3910072678851009,0.5260117866314161,sub-NORB00064
Fp1-O2,0.650977111550441,1.3197960755134641,0.4932406783352342,sub-NORB00064
Fp1-F7,4.211839269158531,9.24526305395571,0.4555672720806402,sub-NORB00064
Fp1-F8,6.016262268269732,8.047213108372015,0.7476205970003008,sub-NORB00064
Fp1-T3,0.923528917593855,2.9914562314194577,0.308722189512242,sub-NORB00064
Fp1-T4,1.264659111909232,4.395217718421373,0.2877352597594321,sub-NORB00064
Fp1-T5,0.7304732624931097,0.9813197110152162,0.744378467377777,sub-NORB00064
Fp1-T6,0.5378626057261036,1.6953927539567626,0.317249560298534,sub-NORB00064
Fp1-FZ,8.704509502854403,10.461446618709472,0.8320560071765863,sub-NORB00064
Fp1-CZ,3.149777356909794,5.262542016422689,0.5985277356608953,sub-NORB00064
Fp1-PZ,2.5176915728958593,4.011938588382099,0.6275498783023926,sub-NORB00064
Fp2-F3,8.572744058003904,13.173903243461172,0.6507368317175822,sub-NORB00064
Fp2-F4,6.836241113354441,11.110643032179617,0.6152876204873761,sub-NORB00064
Fp2-C3,3.473181839349668,5.338035351852973,0.6506479651064946,sub-NORB00064
Fp2-C4,3.56074643976964,5.2628307053456584,0.6765838840593624,sub-NORB00064
Fp2-P3,1.3272308246413085,2.9627377160316444,0.4479744587107867,sub-NORB00064
Fp2-P4,1.4233461474757743,3.803381280806788,0.3742317801947662,sub-NORB00064
Fp2-O1,0.9219798537815995,1.437829988716664,0.64123009049527,sub-NORB00064
Fp2-O2,0.5684111829718839,1.388100344062156,0.40948853978990996,sub-NORB00064
