subject_id,session1,session2,threshold,jaccard_index,n_common_channels,n_epochs_ses1,n_epochs_ses2,n_edges_ses1,n_edges_ses2
sub-NORB00064,ses-2,ses-3,0.3,0.09375,19,20,17,30,40
sub-NORB00064,ses-2,ses-3,0.4,0.06896551724137931,19,20,17,14,17
sub-NORB00064,ses-2,ses-3,0.5,0.0,19,20,17,8,7
sub-NORB00064,ses-2,ses-3,0.6,0.0,19,20,17,5,4
sub-NORB00064,ses-2,ses-3,0.7,0.0,19,20,17,0,0
sub-NORB00064,ses-2,ses-1,0.3,0.11764705882352941,19,20,13,30,65
sub-NORB00064,ses-2,ses-1,0.4,0.08888888888888889,19,20,13,14,35
sub-NORB00064,ses-2,ses-1,0.5,0.041666666666666664,19,20,13,8,17
sub-NORB00064,ses-2,ses-1,0.6,0.0,19,20,13,5,6
sub-NORB00064,ses-2,ses-1,0.7,0.0,19,20,13,0,2
sub-NORB00064,ses-3,ses-1,0.3,0.14130434782608695,19,17,13,40,65
sub-NORB00064,ses-3,ses-1,0.4,0.08333333333333333,19,17,13,17,35
sub-NORB00064,ses-3,ses-1,0.5,0.0,19,17,13,7,17
sub-NORB00064,ses-3,ses-1,0.6,0.0,19,17,13,4,6
sub-NORB00064,ses-3,ses-1,0.7,0.0,19,17,13,0,2
sub-NORB00065,ses-2,ses-1,0.3,0.1095890410958904,19,20,20,41,40
sub-NORB00065,ses-2,ses-1,0.4,0.03333333333333333,19,20,20,15,16
sub-NORB00065,ses-2,ses-1,0.5,0.0,19,20,20,5,5
sub-NORB00065,ses-2,ses-1,0.6,0.0,19,20,20,1,3
sub-NORB00065,ses-2,ses-1,0.7,0.0,19,20,20,0,0
sub-NORB00069,ses-2,ses-3,0.3,0.1746031746031746,19,20,20,40,34
sub-NORB00069,ses-2,ses-3,0.4,0.15625,19,20,20,18,19
sub-NORB00069,ses-2,ses-3,0.5,0.125,19,20,20,4,5
sub-NORB00069,ses-2,ses-3,0.6,0.0,19,20,20,1,2
sub-NORB00069,ses-2,ses-3,0.7,0.0,19,20,20,0,0
sub-NORB00069,ses-2,ses-1,0.3,0.0,2,20,15,0,1
sub-NORB00069,ses-2,ses-1,0.4,0.0,2,20,15,0,1
sub-NORB00069,ses-2,ses-1,0.5,0.0,2,20,15,0,0
sub-NORB00069,ses-2,ses-1,0.6,0.0,2,20,15,0,0
sub-NORB00069,ses-2,ses-1,0.7,0.0,2,20,15,0,0
sub-NORB00069,ses-2,ses-4,0.3,0.12195121951219512,19,20,15,40,52
sub-NORB00069,ses-2,ses-4,0.4,0.02564102564102564,19,20,15,18,22
sub-NORB00069,ses-2,ses-4,0.5,0.0,19,20,15,4,12
sub-NORB00069,ses-2,ses-4,0.6,0.0,19,20,15,1,6
sub-NORB00069,ses-2,ses-4,0.7,0.0,19,20,15,0,3
sub-NORB00069,ses-3,ses-1,0.3,0.0,2,20,15,0,1
sub-NORB00069,ses-3,ses-1,0.4,0.0,2,20,15,0,1
sub-NORB00069,ses-3,ses-1,0.5,0.0,2,20,15,0,0
sub-NORB00069,ses-3,ses-1,0.6,0.0,2,20,15,0,0
sub-NORB00069,ses-3,ses-1,0.7,0.0,2,20,15,0,0
sub-NORB00069,ses-3,ses-4,0.3,0.11688311688311688,19,20,15,34,52
sub-NORB00069,ses-3,ses-4,0.4,0.025,19,20,15,19,22
sub-NORB00069,ses-3,ses-4,0.5,0.0,19,20,15,5,12
sub-NORB00069,ses-3,ses-4,0.6,0.0,19,20,15,2,6
sub-NORB00069,ses-3,ses-4,0.7,0.0,19,20,15,0,3
sub-NORB00069,ses-1,ses-4,0.3,0.0,2,15,15,1,0
sub-NORB00069,ses-1,ses-4,0.4,0.0,2,15,15,1,0
sub-NORB00069,ses-1,ses-4,0.5,0.0,2,15,15,0,0
sub-NORB00069,ses-1,ses-4,0.6,0.0,2,15,15,0,0
sub-NORB00069,ses-1,ses-4,0.7,0.0,2,15,15,0,0
sub-NORB00070,ses-2,ses-3,0.3,0.1643835616438356,19,20,20,38,47
sub-NORB00070,ses-2,ses-3,0.4,0.0,19,20,20,14,16
sub-NORB00070,ses-2,ses-3,0.5,0.0,19,20,20,5,4
sub-NORB00070,ses-2,ses-3,0.6,0.0,19,20,20,1,2
sub-NORB00070,ses-2,ses-3,0.7,0.0,19,20,20,0,0
sub-NORB00070,ses-2,ses-1,0.3,0.20833333333333334,19,20,15,38,49
sub-NORB00070,ses-2,ses-1,0.4,0.05555555555555555,19,20,15,14,24
sub-NORB00070,ses-2,ses-1,0.5,0.0,19,20,15,5,8
sub-NORB00070,ses-2,ses-1,0.6,0.0,19,20,15,1,3
sub-NORB00070,ses-2,ses-1,0.7,0.0,19,20,15,0,0
sub-NORB00070,ses-3,ses-1,0.3,0.21518987341772153,19,20,15,47,49
sub-NORB00070,ses-3,ses-1,0.4,0.08108108108108109,19,20,15,16,24
sub-NORB00070,ses-3,ses-1,0.5,0.0,19,20,15,4,8
sub-NORB00070,ses-3,ses-1,0.6,0.0,19,20,15,2,3
sub-NORB00070,ses-3,ses-1,0.7,0.0,19,20,15,0,0
sub-NORB00074,ses-2,ses-1,0.3,0.0,19,20,1,40,0
sub-NORB00074,ses-2,ses-1,0.4,0.0,19,20,1,18,0
sub-NORB00074,ses-2,ses-1,0.5,0.0,19,20,1,8,0
sub-NORB00074,ses-2,ses-1,0.6,0.0,19,20,1,2,0
sub-NORB00074,ses-2,ses-1,0.7,0.0,19,20,1,0,0
sub-NORB00075,ses-2,ses-3,0.3,0.15873015873015872,19,20,20,36,37
sub-NORB00075,ses-2,ses-3,0.4,0.1,19,20,20,14,19
sub-NORB00075,ses-2,ses-3,0.5,0.0,19,20,20,5,4
sub-NORB00075,ses-2,ses-3,0.6,0.0,19,20,20,1,1
sub-NORB00075,ses-2,ses-3,0.7,0.0,19,20,20,0,0
sub-NORB00075,ses-2,ses-1,0.3,0.12903225806451613,19,20,20,36,34
sub-NORB00075,ses-2,ses-1,0.4,0.0,19,20,20,14,13
sub-NORB00075,ses-2,ses-1,0.5,0.0,19,20,20,5,5
sub-NORB00075,ses-2,ses-1,0.6,0.0,19,20,20,1,1
sub-NORB00075,ses-2,ses-1,0.7,0.0,19,20,20,0,1
sub-NORB00075,ses-3,ses-1,0.3,0.14516129032258066,19,20,20,37,34
sub-NORB00075,ses-3,ses-1,0.4,0.0,19,20,20,19,13
sub-NORB00075,ses-3,ses-1,0.5,0.0,19,20,20,4,5
sub-NORB00075,ses-3,ses-1,0.6,0.0,19,20,20,1,1
sub-NORB00075,ses-3,ses-1,0.7,0.0,19,20,20,0,1
sub-NORB00077,ses-2,ses-1,0.3,0.07352941176470588,19,20,20,35,38
sub-NORB00077,ses-2,ses-1,0.4,0.038461538461538464,19,20,20,14,13
sub-NORB00077,ses-2,ses-1,0.5,0.0,19,20,20,2,4
sub-NORB00077,ses-2,ses-1,0.6,0.0,19,20,20,0,1
sub-NORB00077,ses-2,ses-1,0.7,0.0,19,20,20,0,0
sub-NORB00078,ses-2,ses-1,0.3,0.1076923076923077,19,20,20,44,28
sub-NORB00078,ses-2,ses-1,0.4,0.0,19,20,20,23,9
sub-NORB00078,ses-2,ses-1,0.5,0.0,19,20,20,8,0
sub-NORB00078,ses-2,ses-1,0.6,0.0,19,20,20,1,0
sub-NORB00078,ses-2,ses-1,0.7,0.0,19,20,20,0,0
sub-NORB00079,ses-2,ses-1,0.3,0.16091954022988506,19,20,14,44,57
sub-NORB00079,ses-2,ses-1,0.4,0.11864406779661017,19,20,14,30,36
sub-NORB00079,ses-2,ses-1,0.5,0.0,19,20,14,6,14
sub-NORB00079,ses-2,ses-1,0.6,0.0,19,20,14,2,5
sub-NORB00079,ses-2,ses-1,0.7,0.0,19,20,14,0,1
sub-NORB00080,ses-2,ses-1,0.3,0.07246376811594203,19,20,20,33,41
sub-NORB00080,ses-2,ses-1,0.4,0.058823529411764705,19,20,20,14,22
sub-NORB00080,ses-2,ses-1,0.5,0.0,19,20,20,4,9
sub-NORB00080,ses-2,ses-1,0.6,0.0,19,20,20,2,2
sub-NORB00080,ses-2,ses-1,0.7,0.0,19,20,20,0,0
sub-NORB00081,ses-2,ses-1,0.3,0.13592233009708737,19,20,15,32,85
sub-NORB00081,ses-2,ses-1,0.4,0.04838709677419355,19,20,15,17,48
sub-NORB00081,ses-2,ses-1,0.5,0.0,19,20,15,6,21
sub-NORB00081,ses-2,ses-1,0.6,0.0,19,20,15,2,8
sub-NORB00081,ses-2,ses-1,0.7,0.0,19,20,15,0,2
sub-NORB00083,ses-2,ses-1,0.3,0.16981132075471697,19,20,20,33,29
sub-NORB00083,ses-2,ses-1,0.4,0.07692307692307693,19,20,20,15,13
sub-NORB00083,ses-2,ses-1,0.5,0.0,19,20,20,5,6
sub-NORB00083,ses-2,ses-1,0.6,0.0,19,20,20,2,0
sub-NORB00083,ses-2,ses-1,0.7,0.0,19,20,20,0,0
sub-NORB00084,ses-2,ses-1,0.3,0.12987012987012986,19,20,15,39,48
sub-NORB00084,ses-2,ses-1,0.4,0.020833333333333332,19,20,15,19,30
sub-NORB00084,ses-2,ses-1,0.5,0.0,19,20,15,7,12
sub-NORB00084,ses-2,ses-1,0.6,0.0,19,20,15,0,6
sub-NORB00084,ses-2,ses-1,0.7,0.0,19,20,15,0,1
sub-NORB00085,ses-2,ses-1,0.3,0.3106796116504854,19,19,8,51,84
sub-NORB00085,ses-2,ses-1,0.4,0.09210526315789473,19,19,8,20,63
sub-NORB00085,ses-2,ses-1,0.5,0.08163265306122448,19,19,8,8,45
sub-NORB00085,ses-2,ses-1,0.6,0.0,19,19,8,1,28
sub-NORB00085,ses-2,ses-1,0.7,0.0,19,19,8,0,12
sub-NORB00086,ses-2,ses-1,0.3,0.0967741935483871,19,20,20,30,38
sub-NORB00086,ses-2,ses-1,0.4,0.037037037037037035,19,20,20,12,16
sub-NORB00086,ses-2,ses-1,0.5,0.0,19,20,20,4,5
sub-NORB00086,ses-2,ses-1,0.6,0.0,19,20,20,2,2
sub-NORB00086,ses-2,ses-1,0.7,0.0,19,20,20,0,0
sub-NORB00087,ses-2,ses-1,0.3,0.09876543209876543,19,19,19,42,47
sub-NORB00087,ses-2,ses-1,0.4,0.07317073170731707,19,19,19,21,23
sub-NORB00087,ses-2,ses-1,0.5,0.0,19,19,19,3,12
sub-NORB00087,ses-2,ses-1,0.6,0.0,19,19,19,0,2
sub-NORB00087,ses-2,ses-1,0.7,0.0,19,19,19,0,0
sub-NORB00089,ses-2,ses-1,0.3,0.0392156862745098,19,20,24,31,22
sub-NORB00089,ses-2,ses-1,0.4,0.0625,19,20,24,7,10
sub-NORB00089,ses-2,ses-1,0.5,0.0,19,20,24,4,0
sub-NORB00089,ses-2,ses-1,0.6,0.0,19,20,24,2,0
sub-NORB00089,ses-2,ses-1,0.7,0.0,19,20,24,0,0
sub-NORB00090,ses-2,ses-1,0.3,0.10144927536231885,19,20,15,31,45
sub-NORB00090,ses-2,ses-1,0.4,0.0,19,20,15,7,26
sub-NORB00090,ses-2,ses-1,0.5,0.0,19,20,15,3,14
sub-NORB00090,ses-2,ses-1,0.6,0.0,19,20,15,2,7
sub-NORB00090,ses-2,ses-1,0.7,0.0,19,20,15,0,1
sub-NORB00094,ses-2,ses-1,0.3,0.16470588235294117,19,20,12,39,60
sub-NORB00094,ses-2,ses-1,0.4,0.08,19,20,12,15,39
sub-NORB00094,ses-2,ses-1,0.5,0.0,19,20,12,4,21
sub-NORB00094,ses-2,ses-1,0.6,0.0,19,20,12,0,8
sub-NORB00094,ses-2,ses-1,0.7,0.0,19,20,12,0,2
sub-NORB00096,ses-2,ses-1,0.3,0.0967741935483871,19,20,20,37,31
sub-NORB00096,ses-2,ses-1,0.4,0.043478260869565216,19,20,20,15,9
sub-NORB00096,ses-2,ses-1,0.5,0.0,19,20,20,4,0
sub-NORB00096,ses-2,ses-1,0.6,0.0,19,20,20,0,0
sub-NORB00096,ses-2,ses-1,0.7,0.0,19,20,20,0,0
sub-NORB00103,ses-2,ses-1,0.3,0.1320754716981132,19,20,35,29,31
sub-NORB00103,ses-2,ses-1,0.4,0.043478260869565216,19,20,35,10,14
sub-NORB00103,ses-2,ses-1,0.5,0.0,19,20,35,4,2
sub-NORB00103,ses-2,ses-1,0.6,0.0,19,20,35,0,1
sub-NORB00103,ses-2,ses-1,0.7,0.0,19,20,35,0,0
