node,min_value,max_value,jaccard_min_over_max,subject_id
Fp1,0.4565808102747258,0.49756739055475563,0.91762607225057,sub-NORB00064
Fp2,0.4418104244087621,0.5007437880469966,0.8823083480114917,sub-NORB00064
F3,0.4812855860609664,0.5089965457784036,0.9455576664571287,sub-NORB00064
F4,0.48097398658052565,0.5378628658552659,0.8942316287548869,sub-NORB00064
C3,0.4432037866270818,0.4906996766658994,0.9032078228346665,sub-NORB00064
C4,0.4452358229024598,0.49350575621484793,0.9021897258451149,sub-NORB00064
P3,0.40138737518025286,0.4576259353272764,0.8771080137606189,sub-NORB00064
P4,0.39592299579302337,0.46786414435339685,0.8462349606640653,sub-NORB00064
O1,0.3178361010955735,0.3393779606168707,0.9365254612228159,sub-NORB00064
O2,0.2714790970597988,0.36139827516212,0.7511909041016196,sub-NORB00064
F7,0.37672177357868164,0.46542295468277056,0.8094181212773506,sub-NORB00064
F8,0.42612395463515335,0.4968136594632281,0.8577138460636329,sub-NORB00064
T3,0.29039118445446516,0.3872457142285053,0.7498886980143868,sub-NORB00064
T4,0.2952709734557828,0.43741525071172144,0.6750358451730828,sub-NORB00064
T5,0.28604521830625956,0.3450551126210641,0.8289841472958884,sub-NORB00064
T6,0.31875372639517136,0.3672107512563423,0.8680402883211225,sub-NORB00064
FZ,0.46024285166231665,0.4975025618036568,0.9251064959218341,sub-NORB00064
CZ,0.4107108859214805,0.441931199446734,0.9293548100601653,sub-NORB00064
PZ,0.4460619538885991,0.4806485991259034,0.9280417225802743,sub-NORB00064
Fp1,0.42630859028911383,0.43939510993754505,0.9702169656592416,sub-NORB00065
Fp2,0.4248450555674784,0.4630617549069916,0.9174695406508162,sub-NORB00065
F3,0.4904248658706904,0.49531351382380395,0.9901301946813982,sub-NORB00065
F4,0.4867674853474118,0.5036240324500009,0.9665295021355786,sub-NORB00065
C3,0.4838725759768018,0.48756045093891254,0.9924360662252057,sub-NORB00065
C4,0.4647912964345621,0.5119057007547391,0.9079627278017947,sub-NORB00065
P3,0.40604591072788293,0.42579820904002325,0.9536111287159414,sub-NORB00065
P4,0.3929580753251315,0.4060831426684904,0.9676788668027186,sub-NORB00065
O1,0.2919077257868121,0.3173808007692679,0.9197397104024122,sub-NORB00065
O2,0.3004301057951221,0.32271791802183103,0.9309371714984811,sub-NORB00065
F7,0.3882358274615255,0.43064976965009477,0.9015117499702118,sub-NORB00065
F8,0.41285360351950456,0.4668311217556373,0.8843746363071585,sub-NORB00065
T3,0.25495342974045865,0.3977578841496566,0.6409764329009058,sub-NORB00065
T4,0.3172078488717599,0.4080728915289374,0.7773313431413416,sub-NORB00065
T5,0.2660871576646131,0.2818043072473642,0.9442267233731286,sub-NORB00065
T6,0.2980144613159092,0.316677331320103,0.9410666057895725,sub-NORB00065
FZ,0.49431812279340887,0.5025738858557156,0.983573036135274,sub-NORB00065
CZ,0.4056076616829474,0.4669309877037314,0.8686672599684179,sub-NORB00065
PZ,0.44482215146329596,0.4662289546046088,0.9540852130055562,sub-NORB00065
Fp1,0.35208082049309575,0.5420785180921858,0.6495015182158924,sub-NORB00069
Fp2,0.34740946442849907,0.534129951194117,0.6504212385989964,sub-NORB00069
F3,0.1613239242779754,0.548203607722583,0.29427738527327046,sub-NORB00069
F4,0.417711219080921,0.5505257234563533,0.7587496846803343,sub-NORB00069
C3,0.37226203428029764,0.5481638991676187,0.6791071700372349,sub-NORB00069
C4,0.4066193634962911,0.5518936155552745,0.7367712762670406,sub-NORB00069
P3,0.3725858523340825,0.48558349534585427,0.7672951323617583,sub-NORB00069
P4,0.3813209082732639,0.5379916066427938,0.7087859802363918,sub-NORB00069
O1,0.2835687605437833,0.4472549988513198,0.6340203268204266,sub-NORB00069
O2,0.322040865794017,0.45652147395985165,0.7054232586271255,sub-NORB00069
F7,0.34675218337173036,0.5254148094267036,0.6599589070397205,sub-NORB00069
F8,0.29795478632455213,0.5193721085536663,0.5736826861078249,sub-NORB00069
T3,0.2777711874795753,0.4722710709785108,0.5881604962676497,sub-NORB00069
T4,0.3222526139151981,0.3849285785498286,0.8371750809702035,sub-NORB00069
T5,0.27864478828347217,0.3285485828543178,0.8481083249932216,sub-NORB00069
T6,0.3010573750258822,0.34436941852071834,0.8742279622828054,sub-NORB00069
FZ,0.3714188471872576,0.5587359150334719,0.664748474536503,sub-NORB00069
CZ,0.338272797861027,0.5508947595621886,0.614042504470113,sub-NORB00069
PZ,0.3858563097587509,0.5395659128004585,0.7151235847277249,sub-NORB00069
Fp1,0.35251393856453295,0.4245674544828472,0.8302895920129335,sub-NORB00070
Fp2,0.3854279283897164,0.41737873395414987,0.9234488895451407,sub-NORB00070
F3,0.38232306631664326,0.45594547107866834,0.8385280490058374,sub-NORB00070
F4,0.4196143245300397,0.46199371709316933,0.9082684655761606,sub-NORB00070
C3,0.3924098181286103,0.4803769770717429,0.8168789031494427,sub-NORB00070
C4,0.4046153212099748,0.5043258568696395,0.8022894636444581,sub-NORB00070
P3,0.3664991243956575,0.4276463711542851,0.8570144612858949,sub-NORB00070
P4,0.3815407829813452,0.4632388076176034,0.8236373479665402,sub-NORB00070
O1,0.3336515900929723,0.374913906665591,0.8899418884202044,sub-NORB00070
O2,0.32278581593447475,0.37726253154801676,0.8555999839421944,sub-NORB00070
F7,0.3603775796996068,0.4454356183660676,0.8090452690369309,sub-NORB00070
F8,0.2873277259346033,0.42284991586544807,0.6795028570516063,sub-NORB00070
T3,0.3067377631303159,0.39016175300628053,0.7861810153528255,sub-NORB00070
T4,0.22608683822523984,0.43158733293205953,0.5238495687287246,sub-NORB00070
T5,0.3151407801288927,0.3364750430269624,0.9365948133741373,sub-NORB00070
T6,0.33435053038223317,0.3754652888594203,0.8904965127346802,sub-NORB00070
FZ,0.4052366716079578,0.4702575768066583,0.8617334235415558,sub-NORB00070
CZ,0.3993863328604264,0.46753943267911896,0.8542302636845879,sub-NORB00070
PZ,0.38259568170415015,0.4673796219516918,0.818597268119009,sub-NORB00070
Fp1,0.3822670244620318,0.44769027070530437,0.8538649362645231,sub-NORB00074
Fp2,0.38159434178285684,0.48342307191904293,0.7893589775681228,sub-NORB00074
F3,0.37979138111398114,0.4799621456382666,0.7912944480421978,sub-NORB00074
F4,0.43245462525774964,0.5125916196143413,0.8436630813104506,sub-NORB00074
C3,0.4255013863164635,0.5489167675773162,0.7751655832895115,sub-NORB00074
C4,0.4294130163633545,0.43976439661638334,0.9764615318277833,sub-NORB00074
P3,0.43419084065083524,0.43948102315431675,0.9879626599903861,sub-NORB00074
P4,0.2545703427465112,0.42740953551491023,0.5956122210512322,sub-NORB00074
O1,0.22208824565862578,0.28771325376197726,0.7719082897806213,sub-NORB00074
O2,0.12937743800757537,0.29474353072026016,0.4389492033681545,sub-NORB00074
F7,0.3864949294352573,0.5112401879444,0.7559948113415736,sub-NORB00074
F8,0.3702358737064049,0.5335209382208129,0.6939481605746693,sub-NORB00074
T3,0.3581798871569197,0.5014650845533728,0.7142668516511587,sub-NORB00074
T4,0.3238421003424256,0.3450720433858041,0.9384767805729118,sub-NORB00074
T5,0.3070558994954727,0.310311691965356,0.9895079929174991,sub-NORB00074
T6,0.18842513985344797,0.3015443140484242,0.6248671623872479,sub-NORB00074
FZ,0.3952538918887251,0.4799453956277182,0.8235392931976657,sub-NORB00074
CZ,0.417380296187558,0.4734358127419102,0.881598486963405,sub-NORB00074
PZ,0.3775393718510365,0.4464653200094005,0.8456185843126343,sub-NORB00074
Fp1,0.4439280264512747,0.4771520972728608,0.9303700622684536,sub-NORB00075
Fp2,0.45892047135575753,0.5161522685042065,0.8891183849403492,sub-NORB00075
F3,0.46856954741088,0.5219947935721552,0.8976517643103845,sub-NORB00075
F4,0.49003609462755726,0.5629440968518835,0.8704880242424691,sub-NORB00075
C3,0.4974219394889691,0.5263218022398977,0.9450908880689766,sub-NORB00075
C4,0.502783540260209,0.5238477575005024,0.9597894293929984,sub-NORB00075
P3,0.44004359621740863,0.5018592015625158,0.8768267969329901,sub-NORB00075
P4,0.47270853710674177,0.5003209958835199,0.9448105136423126,sub-NORB00075
O1,0.3796497550673334,0.5027723138428967,0.7551126914000362,sub-NORB00075
O2,0.37589232379971815,0.5068254626074379,0.7416602983320628,sub-NORB00075
F7,0.43505910796125147,0.4827172934774824,0.9012710210299228,sub-NORB00075
F8,0.45089063126225365,0.4754578733819301,0.9483292979356305,sub-NORB00075
T3,0.3863288176224541,0.4609291046566312,0.8381523616527741,sub-NORB00075
T4,0.34170077575007685,0.49515196092600877,0.6900927446819456,sub-NORB00075
T5,0.3168501949860733,0.4651344880190488,0.6812012507081548,sub-NORB00075
T6,0.3377240882960936,0.5004703718022091,0.6748133502487647,sub-NORB00075
FZ,0.46464177336580176,0.5363105278306786,0.8663670564984626,sub-NORB00075
CZ,0.5057249334031602,0.5442069536464103,0.9292878931711461,sub-NORB00075
PZ,0.4927851343116738,0.5257560613518731,0.937288546031364,sub-NORB00075
Fp1,0.48887564012637297,0.4991751922342722,0.979366859034402,sub-NORB00077
Fp2,0.495541378307649,0.5071157633320024,0.9771760496098486,sub-NORB00077
F3,0.48277045100429755,0.5048131154011815,0.9563350005687425,sub-NORB00077
F4,0.506390155003525,0.5082421091976551,0.9963561575071894,sub-NORB00077
C3,0.39858258664757745,0.46015881973823564,0.8661848247835688,sub-NORB00077
C4,0.43119197372172113,0.484829856439167,0.8893676162780294,sub-NORB00077
P3,0.33039529588450595,0.3847685153072248,0.8586858922713475,sub-NORB00077
