node,min_value,max_value,jaccard_min_over_max,subject_id
Fp1,0.1693209134615385,0.1801174343498771,0.9400584350576168,sub-NORB00064
Fp2,0.1756435943690297,0.1775790486963141,0.9891008858224356,sub-NORB00064
F3,0.17279068364675307,0.20528679220085472,0.8417038514474564,sub-NORB00064
F4,0.15672207550580336,0.18837640224358973,0.8319623564269258,sub-NORB00064
C3,0.1526241957663613,0.18364879354113317,0.8310656052971943,sub-NORB00064
C4,0.15687199915131933,0.1615752759741811,0.9708911106943533,sub-NORB00064
P3,0.16886939123237013,0.18089776976495725,0.9335073143896924,sub-NORB00064
P4,0.1489315481309483,0.1574853098290598,0.9456853359377071,sub-NORB00064
O1,0.16812153812954683,0.19968616452991456,0.8419288262926243,sub-NORB00064
O2,0.15892888105737746,0.17416199252136755,0.9125348117378642,sub-NORB00064
F7,0.17054469814241485,0.18013822115384615,0.9467435453176924,sub-NORB00064
F8,0.1703417437475315,0.17640725160256412,0.9656164483039626,sub-NORB00064
T3,0.17995625478809252,0.1900394059000306,0.9469417878666582,sub-NORB00064
T4,0.15857081187331987,0.18047178591621377,0.8786459948201449,sub-NORB00064
T5,0.1698788872418407,0.19282518696581194,0.8809994685598845,sub-NORB00064
T6,0.15908787393162394,0.16534221857119197,0.9621733354395806,sub-NORB00064
FZ,0.16575944360037712,0.21001101762820515,0.7892892738314844,sub-NORB00064
CZ,0.1555929422562966,0.1687019339493432,0.9222949530798924,sub-NORB00064
PZ,0.16737820148364738,0.18588180845675648,0.9004549873560447,sub-NORB00064
Fp1,0.16527318791287632,0.17019927357075332,0.9710569525090882,sub-NORB00065
Fp2,0.16541188855384992,0.17265402133657726,0.9580540741150229,sub-NORB00065
F3,0.15619509083279182,0.15754540237222622,0.9914290641357844,sub-NORB00065
F4,0.1498951839837828,0.16669652080168978,0.8992100330762471,sub-NORB00065
C3,0.16133075835566923,0.16521195872517574,0.9765077516212809,sub-NORB00065
C4,0.1671374289478466,0.17736177103638726,0.9423531800071897,sub-NORB00065
P3,0.1736197303274583,0.18041649167669618,0.9623273832338034,sub-NORB00065
P4,0.17464278371710526,0.19601602859949055,0.8909617492248242,sub-NORB00065
O1,0.17165188954680083,0.17440821412375465,0.9841961309517336,sub-NORB00065
O2,0.17149886026709288,0.19033003243786548,0.9010604268303261,sub-NORB00065
F7,0.14967349330622054,0.17438347750162445,0.8583008863602131,sub-NORB00065
F8,0.15217653068358156,0.1601204617446394,0.9503877832070778,sub-NORB00065
T3,0.15673225894342627,0.1699895279165313,0.9220112607194565,sub-NORB00065
T4,0.16454813731860515,0.17335731046107627,0.9491848764898263,sub-NORB00065
T5,0.15075719986870637,0.17178886071515595,0.8775726158326278,sub-NORB00065
T6,0.15085287938934916,0.16449979907114815,0.9170399006025745,sub-NORB00065
FZ,0.15637428387809144,0.16119087323343081,0.9701187216203974,sub-NORB00065
CZ,0.15503094668819037,0.16107508950681526,0.9624762411299536,sub-NORB00065
PZ,0.17547691234500215,0.18264366435673945,0.9607610149688017,sub-NORB00065
Fp1,0.1596847810354533,0.1813344506939932,0.8806091750592153,sub-NORB00069
Fp2,0.16438438278373402,0.18769116120692,0.8758237826794015,sub-NORB00069
F3,0.17067192720283006,0.1860820308253153,0.9171865034246564,sub-NORB00069
F4,0.15335823000144394,0.19388946646010002,0.7909569962791305,sub-NORB00069
C3,0.18067188853692875,0.19781656384362628,0.9133304361698934,sub-NORB00069
C4,0.16176232198938703,0.1884010004722494,0.8586064913875756,sub-NORB00069
P3,0.16351412747725796,0.21529978706308434,0.7594718494976829,sub-NORB00069
P4,0.17805914826130026,0.1914710144188954,0.9299535431078199,sub-NORB00069
O1,0.16536444531080124,0.1959167520282942,0.8440546487158964,sub-NORB00069
O2,0.17923986920381912,0.19669267449101152,0.9112686563830827,sub-NORB00069
F7,0.15152273527182153,0.1874530617219776,0.8083236084804718,sub-NORB00069
F8,0.1561589359522778,0.19484036738625243,0.8014711635331072,sub-NORB00069
T3,0.15392603365731716,0.1831037169255545,0.8406494212233809,sub-NORB00069
