subject_id,session_id,n_segments,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
sub-NORB00064,ses-1,13,0.1693209134615385,0.1766576522435897,0.20528679220085472,0.18837640224358973,0.16962139423076922,0.16060697115384615,0.18089776976495725,0.1574853098290598,0.19968616452991456,0.17416199252136755,0.18013822115384615,0.17640725160256412,0.18825120192307693,0.1793953659188034,0.19282518696581194,0.15908787393162394,0.21001101762820515,0.1651642628205128,0.16991352831196582
sub-NORB00064,ses-2,20,0.174584098063843,0.1756435943690297,0.17857448311416488,0.16277915488626035,0.1526241957663613,0.15687199915131933,0.1762431262502453,0.15707211518313058,0.172929025136719,0.17076675245595915,0.17423129773621754,0.17593465092022503,0.17995625478809252,0.18047178591621377,0.1698788872418407,0.16534221857119197,0.17066334234896763,0.1555929422562966,0.18588180845675648
sub-NORB00064,ses-3,17,0.1801174343498771,0.1775790486963141,0.17279068364675307,0.15672207550580336,0.18364879354113317,0.1615752759741811,0.16886939123237013,0.1489315481309483,0.16812153812954683,0.15892888105737746,0.17054469814241485,0.1703417437475315,0.1900394059000306,0.15857081187331987,0.17496428142000786,0.16010848504647146,0.16575944360037712,0.1687019339493432,0.16737820148364738
sub-NORB00065,ses-1,20,0.17019927357075332,0.17265402133657726,0.15754540237222622,0.16669652080168978,0.16521195872517574,0.1671374289478466,0.18041649167669618,0.19601602859949055,0.17165188954680083,0.17149886026709288,0.14967349330622054,0.15217653068358156,0.15673225894342627,0.17335731046107627,0.15075719986870637,0.16449979907114815,0.15637428387809144,0.16107508950681526,0.18264366435673945
sub-NORB00065,ses-2,20,0.16527318791287632,0.16541188855384992,0.15619509083279182,0.1498951839837828,0.16133075835566923,0.17736177103638726,0.1736197303274583,0.17464278371710526,0.17440821412375465,0.19033003243786548,0.17438347750162445,0.1601204617446394,0.1699895279165313,0.16454813731860515,0.17178886071515595,0.15085287938934916,0.16119087323343081,0.15503094668819037,0.17547691234500215
sub-NORB00069,ses-1,15,0.1596847810354533,0.1671350408689857,0.17067192720283006,0.170262585362345,0.19781656384362628,0.17652616031678747,0.1918779914912676,0.17805914826130026,0.19338418398272095,0.17923986920381912,0.16757830519435885,0.16831744098561344,0.1752104386436453,0.16188982859391596,0.1732088779518805,0.19050884365325027,0.17269604497213212,0.18075904545768665,0.18160561820314608
sub-NORB00069,ses-2,20,0.16206213944267778,0.16842347054047074,0.18360446267191233,0.19143718828141987,0.18531068659627095,0.1884010004722494,0.21529978706308434,0.1914710144188954,0.1959167520282942,0.1908289973024027,0.1738196206886008,0.18913750993762232,0.17353442366886826,0.18843931765057617,0.189704071197543,0.1890799970102196,0.20596958068330076,0.1632242042257828,0.20150491275277232
sub-NORB00069,ses-3,20,0.17504682148972603,0.18769116120692,0.1860820308253153,0.19388946646010002,0.18649975071007285,0.17230158517816377,0.1706162026561481,0.18887264469857581,0.16536444531080124,0.18234983785537615,0.1874530617219776,0.19484036738625243,0.1831037169255545,0.1575935856470157,0.1677183983610567,0.16585916053421937,0.17917540455465863,0.15723879341976513,0.17759243475144051
sub-NORB00069,ses-4,15,0.1813344506939932,0.16438438278373402,0.17523712186845714,0.15335823000144394,0.18067188853692875,0.16176232198938703,0.16351412747725796,0.18658734308443437,0.19380214537759008,0.19669267449101152,0.15152273527182153,0.1561589359522778,0.15392603365731716,0.15275163458414556,0.17547410272723993,0.18529852876146127,0.16967634895494915,0.17491835539852715,0.17392856619106925
sub-NORB00070,ses-1,15,0.2068142361111111,0.21775173611111115,0.21494502314814815,0.21598668981481478,0.2081741898148148,0.19734519675925927,0.20418836805555554,0.19921875,0.2310763888888889,0.21918402777777776,0.20628616898148147,0.19921875,0.21239872685185188,0.20230758101851853,0.2318287037037037,0.20144675925925926,0.21381655092592594,0.19811921296296295,0.1984519675925926
