Channel,Participation_Coefficient
Fp1,0.2919103551392106
Fp2,0.2977501779911028
F3,0.3292937269120275
F4,0.3468996260439656
C3,0.43776847466861446
C4,0.46035965059179407
P3,0.49707887506524717
P4,0.4999514790607691
O1,0.39973484573694995
O2,0.41044810155928035
F7,0.29208840905725886
F8,0.32373303912113116
T3,0.4535019993259999
T4,0.4589675190609259
T5,0.49182099967470183
T6,0.3750125150275888
FZ,0.2989190300117355
CZ,0.4401999718862557
PZ,0.4906069373115396
25+,0.4849516368678758
26+,0.39230900147800096
27+,0.4729178143070045
