subject_id,session_id,status,n_segments,n_nodes,gif_path,csv_path,npy_path
sub-NORB00064,ses-1,ok,13.0,19.0,betweenness_multi_session/sub-NORB00064/ses-1/sub-NORB00064_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00064/ses-1/sub-NORB00064_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00064/ses-1/sub-NORB00064_ses-1_betweenness_matrix.npy
sub-NORB00064,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00064/ses-2/sub-NORB00064_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00064/ses-2/sub-NORB00064_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00064/ses-2/sub-NORB00064_ses-2_betweenness_matrix.npy
sub-NORB00064,ses-3,ok,17.0,19.0,betweenness_multi_session/sub-NORB00064/ses-3/sub-NORB00064_ses-3_betweenness_change.gif,betweenness_multi_session/sub-NORB00064/ses-3/sub-NORB00064_ses-3_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00064/ses-3/sub-NORB00064_ses-3_betweenness_matrix.npy
sub-NORB00065,ses-1,ok,20.0,19.0,betweenness_multi_session/sub-NORB00065/ses-1/sub-NORB00065_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00065/ses-1/sub-NORB00065_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00065/ses-1/sub-NORB00065_ses-1_betweenness_matrix.npy
sub-NORB00065,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00065/ses-2/sub-NORB00065_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00065/ses-2/sub-NORB00065_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00065/ses-2/sub-NORB00065_ses-2_betweenness_matrix.npy
sub-NORB00069,ses-1,ok,15.0,19.0,betweenness_multi_session/sub-NORB00069/ses-1/sub-NORB00069_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00069/ses-1/sub-NORB00069_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00069/ses-1/sub-NORB00069_ses-1_betweenness_matrix.npy
sub-NORB00069,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00069/ses-2/sub-NORB00069_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00069/ses-2/sub-NORB00069_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00069/ses-2/sub-NORB00069_ses-2_betweenness_matrix.npy
sub-NORB00069,ses-3,ok,20.0,19.0,betweenness_multi_session/sub-NORB00069/ses-3/sub-NORB00069_ses-3_betweenness_change.gif,betweenness_multi_session/sub-NORB00069/ses-3/sub-NORB00069_ses-3_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00069/ses-3/sub-NORB00069_ses-3_betweenness_matrix.npy
sub-NORB00069,ses-4,ok,15.0,19.0,betweenness_multi_session/sub-NORB00069/ses-4/sub-NORB00069_ses-4_betweenness_change.gif,betweenness_multi_session/sub-NORB00069/ses-4/sub-NORB00069_ses-4_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00069/ses-4/sub-NORB00069_ses-4_betweenness_matrix.npy
sub-NORB00070,ses-1,ok,15.0,19.0,betweenness_multi_session/sub-NORB00070/ses-1/sub-NORB00070_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00070/ses-1/sub-NORB00070_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00070/ses-1/sub-NORB00070_ses-1_betweenness_matrix.npy
sub-NORB00070,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00070/ses-2/sub-NORB00070_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00070/ses-2/sub-NORB00070_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00070/ses-2/sub-NORB00070_ses-2_betweenness_matrix.npy
sub-NORB00070,ses-3,ok,20.0,19.0,betweenness_multi_session/sub-NORB00070/ses-3/sub-NORB00070_ses-3_betweenness_change.gif,betweenness_multi_session/sub-NORB00070/ses-3/sub-NORB00070_ses-3_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00070/ses-3/sub-NORB00070_ses-3_betweenness_matrix.npy
sub-NORB00074,ses-1,ok,1.0,19.0,betweenness_multi_session/sub-NORB00074/ses-1/sub-NORB00074_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00074/ses-1/sub-NORB00074_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00074/ses-1/sub-NORB00074_ses-1_betweenness_matrix.npy
sub-NORB00074,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00074/ses-2/sub-NORB00074_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00074/ses-2/sub-NORB00074_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00074/ses-2/sub-NORB00074_ses-2_betweenness_matrix.npy
sub-NORB00075,ses-1,ok,20.0,19.0,betweenness_multi_session/sub-NORB00075/ses-1/sub-NORB00075_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00075/ses-1/sub-NORB00075_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00075/ses-1/sub-NORB00075_ses-1_betweenness_matrix.npy
sub-NORB00075,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00075/ses-2/sub-NORB00075_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00075/ses-2/sub-NORB00075_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00075/ses-2/sub-NORB00075_ses-2_betweenness_matrix.npy
sub-NORB00075,ses-3,ok,20.0,19.0,betweenness_multi_session/sub-NORB00075/ses-3/sub-NORB00075_ses-3_betweenness_change.gif,betweenness_multi_session/sub-NORB00075/ses-3/sub-NORB00075_ses-3_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00075/ses-3/sub-NORB00075_ses-3_betweenness_matrix.npy
sub-NORB00077,ses-1,ok,20.0,19.0,betweenness_multi_session/sub-NORB00077/ses-1/sub-NORB00077_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00077/ses-1/sub-NORB00077_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00077/ses-1/sub-NORB00077_ses-1_betweenness_matrix.npy
sub-NORB00077,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00077/ses-2/sub-NORB00077_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00077/ses-2/sub-NORB00077_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00077/ses-2/sub-NORB00077_ses-2_betweenness_matrix.npy
sub-NORB00078,ses-1,ok,20.0,19.0,betweenness_multi_session/sub-NORB00078/ses-1/sub-NORB00078_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00078/ses-1/sub-NORB00078_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00078/ses-1/sub-NORB00078_ses-1_betweenness_matrix.npy
sub-NORB00078,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00078/ses-2/sub-NORB00078_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00078/ses-2/sub-NORB00078_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00078/ses-2/sub-NORB00078_ses-2_betweenness_matrix.npy
sub-NORB00079,ses-1,ok,14.0,19.0,betweenness_multi_session/sub-NORB00079/ses-1/sub-NORB00079_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00079/ses-1/sub-NORB00079_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00079/ses-1/sub-NORB00079_ses-1_betweenness_matrix.npy
sub-NORB00079,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00079/ses-2/sub-NORB00079_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00079/ses-2/sub-NORB00079_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00079/ses-2/sub-NORB00079_ses-2_betweenness_matrix.npy
sub-NORB00080,ses-1,ok,20.0,19.0,betweenness_multi_session/sub-NORB00080/ses-1/sub-NORB00080_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00080/ses-1/sub-NORB00080_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00080/ses-1/sub-NORB00080_ses-1_betweenness_matrix.npy
sub-NORB00080,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00080/ses-2/sub-NORB00080_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00080/ses-2/sub-NORB00080_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00080/ses-2/sub-NORB00080_ses-2_betweenness_matrix.npy
sub-NORB00081,ses-1,ok,15.0,19.0,betweenness_multi_session/sub-NORB00081/ses-1/sub-NORB00081_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00081/ses-1/sub-NORB00081_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00081/ses-1/sub-NORB00081_ses-1_betweenness_matrix.npy
