,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.8835773849367851,0.8571527930791735,0.7616011734489799,0.21402069290677145,0.17252503999611685,0.06768009651427256,0.13349638207748557,0.15095428142661949,0.15625386710999536,0.8392350696823261,0.5010158624940368,0.13371520287338987,0.1446410885917526,-0.09778263857702262,0.13821243229710453,0.7398927415614359,0.31907451648203594,0.08667142023422758
Fp2,0.883577384936785,1.0,0.8247485443620408,0.8686205284321287,0.21016407628841208,0.1644930259626186,0.09951421548093407,0.15323152034918228,0.1939860107188844,0.19951583925942432,0.7770205055692501,0.5960342338818303,0.13481023765037636,0.1433748050966195,-0.0820165527298571,0.14197335583851875,0.7237461548570164,0.31250485325831906,0.11881197879780063
F3,0.8571527930791735,0.8247485443620408,1.0,0.8364011326839331,0.26644381842649445,0.14711719330871303,0.11532762806839897,0.14956040281646135,0.1838118624128329,0.18953418315735765,0.7140731564794309,0.47877762623721876,0.17577952681289502,0.1115612049040036,-0.06673192038796771,0.11489439725633215,0.9568415250689125,0.3906990543173213,0.1322492623654868
F4,0.7616011734489799,0.8686205284321286,0.8364011326839329,1.0,0.35015412781643857,0.3337568260902554,0.18231385105593612,0.22991296969329886,0.2538709198752258,0.2609777734601027,0.7020308847478277,0.6746764724560737,0.21511253238580827,0.2536788678331869,-0.021933105391283285,0.2377325439828037,0.8003216659947081,0.4718084939978637,0.20067526431167051
C3,0.2140206929067715,0.2101640762884121,0.26644381842649445,0.3501541278164385,1.0,0.5453599774447129,0.4830846080616596,0.393349691043929,0.22561067691987258,0.21379563683872335,0.28908242489031255,0.26812524852700276,0.6112598491161229,0.24320440199363727,0.3960153789403643,0.2512030826341138,0.2873311020935452,0.749439996852196,0.4642160589617969
C4,0.17252503999611685,0.1644930259626186,0.14711719330871306,0.33375682609025537,0.5453599774447129,1.0,0.4172574034975243,0.6074540857716886,0.273827730055284,0.27629030478228467,0.20145236399525404,0.367034064987333,0.26344084966001985,0.6402307389475769,0.2476655574116391,0.6390798234707928,0.15066648020792475,0.6853930608031209,0.4239897389976267
P3,0.06768009651427256,0.09951421548093407,0.11532762806839897,0.18231385105593612,0.4830846080616596,0.4172574034975243,1.0,0.847541311981037,0.803374692095055,0.7742636270309567,0.05518528691305705,0.07252384948202911,0.1599791295665784,0.24096540559592675,0.6759738793460599,0.403689570460956,0.13648775428230264,0.4858739554296631,0.9957323061662127
P4,0.13349638207748557,0.15323152034918228,0.14956040281646138,0.2299129696932989,0.393349691043929,0.6074540857716886,0.847541311981037,1.0,0.7872859925664861,0.7881006652838429,0.11221092109721303,0.14274394590471057,0.0630404184718476,0.41697131738166443,0.4426201449858803,0.5954557251575842,0.158261233114148,0.5509472724900145,0.8731310527820291
O1,0.15095428142661949,0.1939860107188844,0.1838118624128329,0.2538709198752258,0.2256106769198726,0.273827730055284,0.8033746920950549,0.7872859925664861,1.0,0.9916437597100817,0.14125487780060728,0.11682749773544733,0.018905429842117766,0.25519501392173494,0.5032539281097145,0.46508524755293706,0.19957201075481815,0.32786817422518755,0.8289766273160112
O2,0.15625386710999534,0.19951583925942432,0.18953418315735765,0.2609777734601027,0.2137956368387233,0.27629030478228467,0.7742636270309567,0.7881006652838429,0.9916437597100817,1.0,0.1487805288159503,0.12431302031322246,0.0004419656080255844,0.2675475192995658,0.4548587248346702,0.478455622449057,0.2079804756805646,0.3323962978850031,0.803484764399941
F7,0.8392350696823261,0.7770205055692501,0.7140731564794309,0.7020308847478277,0.28908242489031255,0.20145236399525404,0.05518528691305705,0.11221092109721303,0.14125487780060728,0.1487805288159503,1.0,0.5372496028553958,0.3169503075047622,0.16004915288095092,-0.07269317942475594,0.1514408262048244,0.6522248474515121,0.35763846736833044,0.06955413830640428
F8,0.5010158624940367,0.5960342338818305,0.47877762623721887,0.6746764724560737,0.26812524852700276,0.367034064987333,0.07252384948202911,0.14274394590471057,0.11682749773544733,0.12431302031322243,0.5372496028553958,1.0,0.22527717367282385,0.4010891074205682,-0.07982810871873781,0.30500106221843076,0.454414511800756,0.35881712850982067,0.08714064207441855
T3,0.13371520287338987,0.13481023765037636,0.17577952681289502,0.21511253238580821,0.6112598491161229,0.26344084966001985,0.1599791295665784,0.0630404184718476,0.01890542984211778,0.0004419656080255942,0.31695030750476216,0.22527717367282385,1.0,0.1291482261042896,0.3503910493556527,0.08552117687553235,0.1906354778499584,0.3356967298392086,0.1332850047251615
T4,0.1446410885917526,0.1433748050966195,0.11156120490400362,0.2536788678331869,0.24320440199363727,0.640230738947577,0.24096540559592675,0.41697131738166443,0.25519501392173494,0.2675475192995658,0.16004915288095092,0.4010891074205682,0.1291482261042896,1.0,0.15717612055844785,0.9280604241655882,0.09750689267329529,0.33123770255586643,0.25319262345946086
T5,-0.09778263857702263,-0.08201655272985714,-0.06673192038796771,-0.021933105391283274,0.3960153789403643,0.24766555741163912,0.6759738793460598,0.4426201449858803,0.5032539281097145,0.4548587248346702,-0.07269317942475594,-0.0798281087187378,0.3503910493556527,0.15717612055844785,1.0,0.28790491573294724,-0.04296537654139285,0.24710360360005493,0.6350543173259623
T6,0.13821243229710456,0.14197335583851875,0.11489439725633216,0.2377325439828037,0.2512030826341138,0.6390798234707928,0.403689570460956,0.5954557251575842,0.46508524755293706,0.478455622449057,0.15144082620482438,0.30500106221843065,0.08552117687553235,0.928060424165588,0.28790491573294724,1.0,0.1073439918456835,0.37117152223133876,0.4198627609545951
FZ,0.739892741561436,0.7237461548570164,0.9568415250689125,0.8003216659947081,0.2873311020935452,0.15066648020792475,0.13648775428230264,0.158261233114148,0.1995720107548182,0.2079804756805646,0.6522248474515121,0.454414511800756,0.1906354778499584,0.09750689267329528,-0.042965376541392854,0.1073439918456835,1.0,0.44669145848992803,0.15218645090236466
CZ,0.31907451648203594,0.312504853258319,0.3906990543173213,0.4718084939978636,0.749439996852196,0.6853930608031209,0.48587395542966316,0.5509472724900144,0.32786817422518755,0.3323962978850031,0.35763846736833044,0.35881712850982067,0.33569672983920856,0.33123770255586643,0.24710360360005493,0.37117152223133876,0.446691458489928,1.0,0.494254379554078
PZ,0.08667142023422758,0.11881197879780063,0.1322492623654868,0.20067526431167051,0.4642160589617969,0.4239897389976267,0.9957323061662127,0.8731310527820291,0.8289766273160112,0.803484764399941,0.0695541383064043,0.08714064207441855,0.1332850047251615,0.25319262345946086,0.6350543173259623,0.4198627609545951,0.15218645090236466,0.494254379554078,1.0
