,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.9189673385891093,0.8602458247355469,0.7645500098129612,0.3540819158975765,0.41952552616431155,0.3228411250226472,-0.01407785275036589,0.1581878087833901,-0.006946959775354567,0.6742186463026956,0.679770644769197,0.2871370954198554,0.013080332094038721,0.15151726848483837,-0.30764340353293584,0.7145724965320941,0.40221999639295336,0.11879464019374171
Fp2,0.9189673385891093,0.9999999999999998,0.887687255005358,0.8366573683373021,0.27831266094952223,0.40430665519206294,0.30309719042234395,0.04942657310229892,0.0854535799597356,0.05015608090416774,0.6141732311433131,0.7818243319792787,0.19272369176072154,0.04084388618859788,0.11228455341727495,-0.20616187190891266,0.7524559302465159,0.3392314389238952,0.12843834453296282
F3,0.8602458247355469,0.8876872550053581,1.0,0.8771149544459537,0.4309610914146636,0.5106510594448845,0.5358392888856376,0.27179396585490306,0.21465522446562826,0.25946879335658446,0.6100308760615443,0.7349531319273133,0.19219885592404895,0.03035157810294058,0.23118177059144457,-0.10019114693581353,0.7891083433679165,0.48811045591441476,0.3855040204131911
F4,0.7645500098129613,0.8366573683373021,0.8771149544459537,0.9999999999999999,0.4929260042966109,0.6874351629818196,0.4820447877741227,0.18863625875685516,0.15854181590135483,0.17612692075546044,0.5478179724958463,0.8860251250607113,0.16768391735682134,0.17278182779465565,0.14970815080700237,-0.15229402412500492,0.8004880291232557,0.5039951326845792,0.31081906566302064
C3,0.3540819158975765,0.27831266094952223,0.43096109141466354,0.4929260042966109,1.0,0.7386874665599378,0.7132133051898422,0.3961968198580681,0.21771816443277295,0.34593197941335124,0.4518729412145098,0.4044054770362105,0.6788694037670541,0.4948798389622754,0.5300375972378178,0.1311985760427663,0.38479593874367035,0.6651023014723116,0.6285045629195554
C4,0.41952552616431155,0.404306655192063,0.5106510594448845,0.6874351629818195,0.7386874665599378,1.0,0.5742746121147423,0.34072535977947144,0.32525023503598754,0.3136239894519536,0.30495063146876034,0.5193988106898242,0.29916021029628476,0.46765880510245306,0.3091466575027131,-0.06746543234653242,0.6593260144978229,0.812051349153401,0.4893018211376747
P3,0.3228411250226472,0.30309719042234395,0.5358392888856375,0.4820447877741227,0.7132133051898422,0.5742746121147423,1.0,0.6601649996999485,0.45858840396071177,0.631933381318864,0.2890036484684166,0.3338788965522709,0.3640616801448588,0.2547484501915904,0.6272235868265541,0.33016331697536055,0.3483033383893739,0.5937364081162777,0.8201355047672676
P4,-0.014077852750365891,0.04942657310229892,0.27179396585490306,0.18863625875685516,0.3961968198580681,0.34072535977947144,0.6601649996999486,0.9999999999999999,0.3335996613904966,0.9919467819134262,0.051956316114271324,0.10804431849671386,0.0997196908055111,0.2981681130621655,0.2699390188067506,0.8029349254753125,0.09715678127913287,0.4456744230751872,0.9003178138509341
O1,0.15818780878339006,0.0854535799597356,0.21465522446562826,0.15854181590135483,0.21771816443277295,0.32525023503598754,0.4585884039607117,0.3335996613904966,1.0,0.37408835014144537,0.1473598653609237,-0.033225383758302945,0.21917191272533146,-0.05159871341690684,0.553092659139405,0.011323375884824256,0.18994613034580318,0.2563608109884315,0.30467426373416134
O2,-0.006946959775354568,0.05015608090416774,0.2594687933565844,0.17612692075546046,0.34593197941335124,0.3136239894519536,0.631933381318864,0.9919467819134262,0.37408835014144537,1.0,0.050149515983075744,0.0866751155174545,0.07351253525494221,0.24823834173510026,0.2612843191728986,0.7996331663906211,0.09340952118259992,0.42449291495208324,0.8581497296076452
F7,0.6742186463026956,0.6141732311433131,0.6100308760615443,0.5478179724958462,0.4518729412145099,0.30495063146876034,0.2890036484684166,0.05195631611427132,0.14735986536092371,0.05014951598307574,1.0,0.6032254770108728,0.5784968248145879,0.21688386196056852,0.30408624936720013,-0.12882258835971344,0.48783106785369057,0.26865168008699053,0.10975300623056143
F8,0.6797706447691971,0.7818243319792786,0.7349531319273133,0.8860251250607113,0.4044054770362105,0.5193988106898242,0.3338788965522709,0.10804431849671388,-0.033225383758302945,0.0866751155174545,0.6032254770108729,1.0,0.17966086556437041,0.31735922289008933,0.01168720702499544,-0.09184448312886123,0.6121077762963999,0.30979859416912897,0.208157532565696
T3,0.2871370954198554,0.19272369176072154,0.19219885592404895,0.16768391735682134,0.6788694037670541,0.29916021029628476,0.3640616801448588,0.0997196908055111,0.21917191272533149,0.07351253525494221,0.5784968248145878,0.1796608655643704,0.9999999999999999,0.320360964424269,0.6453709517630997,0.02564496162624112,0.10792800399938127,0.2702205568977983,0.24649750266753293
T4,0.013080332094038723,0.04084388618859788,0.030351578102940584,0.17278182779465565,0.4948798389622754,0.467658805102453,0.2547484501915904,0.29816811306216556,-0.05159871341690684,0.2482383417351003,0.21688386196056852,0.3173592228900893,0.320360964424269,1.0,-0.01948009299196988,0.3049422257311856,0.0024112378521351898,0.30154223222624976,0.350839652165788
T5,0.1515172684848384,0.11228455341727495,0.2311817705914446,0.14970815080700237,0.5300375972378178,0.3091466575027131,0.6272235868265541,0.2699390188067506,0.5530926591394049,0.26128431917289857,0.3040862493672001,0.011687207024995441,0.6453709517630997,-0.01948009299196988,1.0,0.050044262200297555,0.22042522626571645,0.3716983414497436,0.3863691446304056
T6,-0.30764340353293584,-0.20616187190891266,-0.10019114693581355,-0.15229402412500495,0.1311985760427663,-0.06746543234653242,0.33016331697536055,0.8029349254753125,0.011323375884824256,0.799633166390621,-0.1288225883597134,-0.09184448312886125,0.02564496162624112,0.3049422257311856,0.050044262200297555,0.9999999999999999,-0.3146631563205273,0.0459668156072955,0.6321949487003592
FZ,0.7145724965320941,0.752455930246516,0.7891083433679166,0.8004880291232558,0.38479593874367035,0.6593260144978229,0.3483033383893739,0.09715678127913287,0.18994613034580318,0.09340952118259992,0.4878310678536905,0.6121077762963999,0.10792800399938125,0.0024112378521351898,0.22042522626571645,-0.31466315632052727,1.0,0.6734612150883139,0.21405260527496636
CZ,0.40221999639295336,0.3392314389238952,0.48811045591441476,0.5039951326845792,0.6651023014723118,0.812051349153401,0.5937364081162778,0.44567442307518723,0.25636081098843155,0.4244929149520833,0.26865168008699053,0.30979859416912897,0.2702205568977983,0.30154223222624976,0.3716983414497436,0.0459668156072955,0.6734612150883139,1.0,0.5976603502211498
PZ,0.11879464019374171,0.12843834453296282,0.3855040204131911,0.31081906566302064,0.6285045629195554,0.48930182113767473,0.8201355047672677,0.9003178138509341,0.3046742637341613,0.8581497296076452,0.10975300623056143,0.20815753256569602,0.24649750266753293,0.350839652165788,0.3863691446304056,0.6321949487003592,0.21405260527496633,0.5976603502211498,0.9999999999999998
