,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.9351971855230126,0.8358615956704482,0.7781400273985297,0.5354364404709523,0.5266670785218983,0.2547908957449421,0.19247915716633057,0.09936287137112826,0.16575634434258754,0.8004331481573018,0.6733578609687924,0.3548586078972799,0.324088735892427,0.12246094470357423,0.1753174385588043,0.8005842415812738,0.5102616012262334,0.2766379313359068
Fp2,0.9351971855230126,1.0,0.7312717791531718,0.8378407562910241,0.48567568640180897,0.550261387814304,0.22817796370838794,0.18569731368303408,0.11025126690656606,0.17398596441474976,0.7024319875984344,0.8132374663011716,0.3001928168922367,0.3551684441566114,0.09493662010035268,0.16913916527389747,0.7601788613840913,0.4891793228874934,0.2726813845023312
F3,0.8358615956704482,0.7312717791531718,1.0,0.7641861400713633,0.7023294553615634,0.5787009367668934,0.37363141138555317,0.2554966978472207,0.13143123417604272,0.1388494373530344,0.8227947969195476,0.5668149927291695,0.46096352138863556,0.3031448615647443,0.2033645577789662,0.16928635567530495,0.8962011542090004,0.64736159879909,0.36493207239180186
F4,0.7781400273985296,0.8378407562910241,0.7641861400713634,1.0,0.6147197846429144,0.7207462457074113,0.3560551608158946,0.3219353810416044,0.1438678580797087,0.12493815309301798,0.6500364567480877,0.8337973699951301,0.367327945347902,0.4214830090279096,0.18456617834063335,0.18046707677796037,0.8648497512946575,0.6459190180177266,0.40726990740733
C3,0.5354364404709523,0.48567568640180897,0.7023294553615634,0.6147197846429144,1.0,0.7149169249967556,0.736872051488883,0.5498236587869486,0.3876109387068414,0.2646420104131116,0.6050380534480893,0.45408038287066205,0.6479546334306174,0.3846977183076567,0.4943133635970731,0.3194499545450559,0.6790725842105204,0.8163634515031143,0.704530475319423
C4,0.5266670785218983,0.550261387814304,0.5787009367668934,0.7207462457074113,0.7149169249967556,1.0,0.5352506772966957,0.6381482418210251,0.2630552601636386,0.25607643777409395,0.49560579595675075,0.6334714989820599,0.48502629344591575,0.5522309771632055,0.327996711444408,0.4266031535157118,0.6411927378547373,0.7278391305291217,0.612628269672068
P3,0.2547908957449421,0.22817796370838794,0.37363141138555317,0.3560551608158946,0.736872051488883,0.5352506772966957,1.0,0.7511884418645819,0.7532728269845393,0.52783152110477,0.33600377566563383,0.2410442113501252,0.47885096594570453,0.2858725509796715,0.7562505182966821,0.41106614024950133,0.35675434401805656,0.594067059976879,0.9026104139180983
P4,0.19247915716633057,0.18569731368303408,0.2554966978472207,0.32193538104160435,0.5498236587869487,0.6381482418210251,0.7511884418645821,1.0,0.6178099312699662,0.6735173021476922,0.21595080846750916,0.244211141586289,0.34088305335432173,0.4344599802078348,0.571415498550725,0.7412506962416621,0.2601811354994048,0.4876773886273478,0.79258003478943
O1,0.09936287137112826,0.11025126690656606,0.1314312341760427,0.14386785807970873,0.3876109387068414,0.2630552601636386,0.7532728269845393,0.6178099312699662,1.0,0.7997362350346283,0.13901491118352796,0.1226575864148524,0.21739640244473768,0.18872655445750186,0.6711789728066867,0.3622118836120765,0.1497619859977985,0.31859400865261767,0.6663945600287123
O2,0.16575634434258754,0.17398596441474976,0.13884943735303437,0.12493815309301798,0.26464201041311153,0.25607643777409395,0.5278315211047698,0.6735173021476922,0.7997362350346283,1.0,0.16262757604293462,0.16593298116699903,0.18584988892794596,0.22391789323229758,0.4552602153000818,0.5621545162411713,0.14735577014175166,0.24286545796249326,0.5135745894770231
