,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.9498114967047131,0.9340138983852088,0.8755533153805845,0.7278189045282415,0.7141458186671159,0.5877882567066142,0.5399004034890947,0.5474264294503929,0.5543480771579837,0.9448594674802819,0.8515719041145896,0.79826238789628,0.7251776201867773,0.5555244493244164,0.49185500713039376,0.8740495194739836,0.7033298880416068,0.6061344498596466
Fp2,0.9498114967047131,1.0,0.9455862331284747,0.9184006016154982,0.6807276642243983,0.7358829606553898,0.5803542679539522,0.5543266852664552,0.5470645783168641,0.5708114040861656,0.8776870723474917,0.9137917311422292,0.7348278298685528,0.769079061508514,0.5651913124436934,0.5249586080765443,0.8788831464977974,0.7221103658049147,0.5950395035471622
F3,0.9340138983852088,0.9455862331284747,1.0,0.9294464469069302,0.6995324884127363,0.7253935232140554,0.5831831701955406,0.5278558032895757,0.5295494662809912,0.5408671213664834,0.8718954797929074,0.8670408082343904,0.7417027513822361,0.7492749798741211,0.5606899769191138,0.507817983404107,0.940407013395921,0.7159213277870436,0.5820729846424894
F4,0.8755533153805846,0.9184006016154982,0.92944644690693,1.0,0.7065942652824384,0.8018677693307608,0.5919979326800451,0.5618230535704153,0.5505992271998607,0.5724900027757351,0.8497588286728226,0.9432805900664476,0.7258658795835701,0.801503568216779,0.5756923696120093,0.5419285665282325,0.9238489447002429,0.7621554472357435,0.6142534213230992
C3,0.7278189045282415,0.6807276642243983,0.6995324884127363,0.7065942652824384,1.0,0.8241703746658317,0.8066187698847168,0.6724453643340397,0.6335899942399142,0.5749061180628978,0.7740912991546083,0.6908007243372645,0.8261267771060326,0.7088095732852085,0.7357053830042151,0.5925144491161342,0.7346566929338213,0.8082875786855579,0.7805206342740882
C4,0.7141458186671159,0.7358829606553898,0.7253935232140554,0.8018677693307608,0.8241703746658317,1.0,0.7262343472496744,0.746873152637295,0.5941122801394878,0.5940651516829257,0.7238810879997819,0.7933455551776664,0.7176624743893467,0.8408968707705219,0.671252051959234,0.7082033428892814,0.7640408892717446,0.8382895807656177,0.7748068660230758
P3,0.5877882567066142,0.5803542679539522,0.5831831701955406,0.5919979326800451,0.8066187698847168,0.7262343472496744,1.0,0.8045583419269728,0.7555847754933198,0.6549213569286865,0.6046043937049046,0.5749411679298105,0.6471173126179629,0.6108772334591228,0.8750807544201041,0.6752030180279718,0.5825334243365389,0.728040096043785,0.8714512613466491
P4,0.5399004034890947,0.5543266852664552,0.5278558032895757,0.5618230535704153,0.6724453643340397,0.746873152637295,0.8045583419269728,1.0,0.7157453767366183,0.742117485399065,0.5330302185144817,0.5672226948011507,0.5318230450385593,0.6245881680596904,0.718303375620931,0.8393060659181802,0.5284092240306727,0.6691736959854679,0.8485455385908456
O1,0.5474264294503929,0.5470645783168641,0.5295494662809912,0.5505992271998607,0.6335899942399142,0.5941122801394878,0.7555847754933198,0.7157453767366183,1.0,0.898532647882031,0.5518792770472012,0.5488689642971422,0.5516426543473716,0.5227706027368724,0.728557289589315,0.5971623376737926,0.5345298167405781,0.6512758431312926,0.7545143587159273
O2,0.5543480771579837,0.5708114040861656,0.5408671213664834,0.5724900027757351,0.5749061180628978,0.5940651516829257,0.6549213569286864,0.742117485399065,0.898532647882031,1.0,0.5450950580381628,0.5778166410490355,0.504566916869791,0.544861505622011,0.6170877309161418,0.6646692163669646,0.5369052921610546,0.6274366401811936,0.7083717718110549
F7,0.9448594674802819,0.8776870723474914,0.8718954797929074,0.8497588286728226,0.7740912991546083,0.7238810879997819,0.6046043937049047,0.5330302185144817,0.5518792770472012,0.5450950580381628,1.0,0.848973475814347,0.8708010118769979,0.7166563560582964,0.574329716761848,0.4935545451469757,0.8480777116320898,0.7043572348270396,0.618776086065567
F8,0.8515719041145896,0.9137917311422292,0.8670408082343904,0.9432805900664476,0.6908007243372645,0.7933455551776664,0.5749411679298106,0.5672226948011507,0.5488689642971422,0.5778166410490355,0.848973475814347,1.0,0.7401098530345338,0.8469918412207218,0.5603900856256236,0.5637243180153096,0.8582769120471028,0.7399244957917702,0.6093989070716146
T3,0.79826238789628,0.7348278298685528,0.741702751382236,0.7258658795835701,0.8261267771060326,0.7176624743893467,0.6471173126179629,0.5318230450385593,0.5516426543473716,0.504566916869791,0.8708010118769979,0.7401098530345338,1.0,0.729612872056142,0.6585718040920273,0.4977565017476976,0.7525774627640486,0.6841905559115464,0.6317124267778198
