source,target,frequency,band
F3,Fp2,213,alpha
F8,P4,213,alpha
P3,C3,213,alpha
P3,CZ,213,alpha
F4,Fp2,213,alpha
Fp2,F3,213,alpha
C4,PZ,212,alpha
Fp2,F8,212,alpha
F8,T4,212,alpha
PZ,C4,212,alpha
CZ,PZ,212,alpha
P4,CZ,212,alpha
F7,Fp2,212,alpha
C3,FZ,212,alpha
C3,T6,212,alpha
P3,C4,212,alpha
FZ,F7,212,alpha
T6,F8,212,alpha
T6,F7,212,alpha
F4,F7,212,alpha
T4,O2,211,alpha
T6,C4,211,alpha
PZ,T3,211,alpha
FZ,T3,211,alpha
FZ,Fp1,211,alpha
FZ,C4,211,alpha
C3,P3,211,alpha
C4,Fp2,211,alpha
C4,Fp1,211,alpha
C4,F4,211,alpha
T3,FZ,211,alpha
T3,P4,211,alpha
P4,P3,211,alpha
P4,F3,211,alpha
T4,T3,211,alpha
T4,C3,211,alpha
CZ,T6,211,alpha
F7,F4,211,alpha
F8,F3,211,alpha
F3,C4,211,alpha
CZ,P4,211,alpha
CZ,C3,211,alpha
F3,F4,211,alpha
F7,C4,211,alpha
P3,O1,211,alpha
Fp2,C3,211,alpha
F3,Fp1,211,alpha
Fp1,T6,211,alpha
Fp2,F7,211,alpha
Fp2,T3,211,alpha
F3,P4,211,alpha
CZ,F3,211,alpha
CZ,F4,211,alpha
T5,PZ,211,alpha
T4,CZ,211,alpha
T5,O1,211,alpha
T4,F8,211,alpha
C3,P4,211,alpha
C4,T6,211,alpha
F3,FZ,211,alpha
F3,T4,211,alpha
C4,P4,211,alpha
Fp1,C3,210,alpha
C3,F4,210,alpha
FZ,C3,210,alpha
T6,C3,210,alpha
F4,CZ,210,alpha
FZ,Fp2,210,alpha
F4,PZ,210,alpha
Fp2,Fp1,210,alpha
Fp2,FZ,210,alpha
Fp2,T5,210,alpha
Fp2,CZ,210,alpha
Fp1,T5,210,alpha
F3,P3,210,alpha
CZ,F7,210,alpha
CZ,T3,210,alpha
F7,P4,210,alpha
O1,P3,210,alpha
O2,PZ,210,alpha
F7,F8,210,alpha
O2,F7,210,alpha
CZ,P3,210,alpha
F8,Fp2,210,alpha
F8,T3,210,alpha
FZ,F3,210,alpha
Fp1,T3,210,alpha
PZ,CZ,210,alpha
FZ,F8,210,alpha
T3,F8,210,alpha
P4,F8,210,alpha
T5,T3,210,alpha
T4,C4,210,alpha
T5,F7,210,alpha
T3,F7,210,alpha
P4,C4,210,alpha
T4,F3,210,alpha
F4,C3,210,alpha
F4,C4,210,alpha
F4,Fp1,210,alpha
F4,T4,210,alpha
F7,Fp1,210,alpha
F7,T3,210,alpha
F7,CZ,210,alpha
F7,T6,210,alpha
F8,C3,210,alpha
F3,F8,210,alpha
F3,T6,210,alpha
F3,CZ,210,alpha
T3,Fp2,210,alpha
Fp1,F8,209,alpha
Fp1,P3,209,alpha
Fp1,O1,209,alpha
Fp1,F7,209,alpha
Fp1,Fp2,209,alpha
Fp1,F3,209,alpha
Fp1,F4,209,alpha
F4,T3,209,alpha
F4,F8,209,alpha
T6,T5,209,alpha
T6,F3,209,alpha
FZ,P4,209,alpha
FZ,F4,209,alpha
FZ,O1,209,alpha
FZ,T5,209,alpha
Fp1,C4,209,alpha
C4,T4,209,alpha
F3,T5,209,alpha
F3,F7,209,alpha
F4,P4,209,alpha
C4,T3,209,alpha
C3,F8,209,alpha
T5,F8,209,alpha
T3,PZ,209,alpha
P3,FZ,209,alpha
P4,F4,209,alpha
T5,C3,209,alpha
T4,PZ,209,alpha
T5,F3,209,alpha
T5,Fp2,209,alpha
P4,T4,209,alpha
T5,CZ,209,alpha
T4,FZ,209,alpha
C4,CZ,209,alpha
C4,P3,209,alpha
C3,PZ,209,alpha
C4,F3,209,alpha
F8,CZ,209,alpha
T3,F4,209,alpha
P4,FZ,209,alpha
O1,PZ,209,alpha
O1,C4,209,alpha
O1,T5,209,alpha
O2,C3,209,alpha
F8,T6,209,alpha
T3,F3,209,alpha
F7,FZ,209,alpha
F3,C3,209,alpha
CZ,F8,209,alpha
CZ,Fp1,209,alpha
CZ,Fp2,209,alpha
PZ,C3,209,alpha
F3,O2,209,alpha
Fp2,P3,209,alpha
Fp2,F4,209,alpha
Fp1,PZ,208,alpha
CZ,C4,208,alpha
Fp2,O1,208,alpha
FZ,CZ,208,alpha
CZ,T4,208,alpha
Fp2,PZ,208,alpha
CZ,O1,208,alpha
P4,PZ,208,alpha
PZ,P4,208,alpha
O1,F3,208,alpha
O1,C3,208,alpha
O2,F3,208,alpha
O2,F4,208,alpha
PZ,O2,208,alpha
Fp1,T4,208,alpha
C3,Fp1,208,alpha
T6,P3,208,alpha
T4,T5,208,alpha
T4,T6,208,alpha
T5,Fp1,208,alpha
T5,O2,208,alpha
T5,FZ,208,alpha
F4,P3,208,alpha
C3,T5,208,alpha
C3,T4,208,alpha
C4,FZ,208,alpha
F4,F3,208,alpha
T6,T3,208,alpha
PZ,T6,208,alpha
P4,O2,208,alpha
P3,T5,208,alpha
P3,PZ,208,alpha
T4,P4,208,alpha
T4,Fp2,208,alpha
P4,C3,208,alpha
F8,C4,208,alpha
F8,F7,208,alpha
T3,C4,208,alpha
T3,Fp1,208,alpha
F8,PZ,208,alpha
F8,FZ,208,alpha
F8,Fp1,208,alpha
F8,F4,208,alpha
F7,O2,208,alpha
F7,P3,208,alpha
F7,F3,208,alpha
F7,T5,208,alpha
O2,T4,208,alpha
O2,P4,208,alpha
C3,C4,208,alpha
C3,O1,207,alpha
T6,O2,207,alpha
C3,T3,207,alpha
T6,Fp1,207,alpha
T5,F4,207,alpha
C3,Fp2,207,alpha
F4,FZ,207,alpha
T6,PZ,207,alpha
PZ,T4,207,alpha
T6,FZ,207,alpha
Fp1,O2,207,alpha
C4,C3,207,alpha
C4,O1,207,alpha
C4,T5,207,alpha
F3,T3,207,alpha
C4,F7,207,alpha
P3,F7,207,alpha
P4,T6,207,alpha
T3,T5,207,alpha
F8,T5,207,alpha
T3,C3,207,alpha
PZ,Fp2,207,alpha
PZ,F3,207,alpha
Fp2,T4,207,alpha
FZ,PZ,207,alpha
Fp2,T6,207,alpha
PZ,O1,207,alpha
O1,F8,207,alpha
O2,Fp1,207,alpha
CZ,FZ,207,alpha
PZ,F7,207,alpha
Fp2,C4,207,alpha
Fp1,CZ,207,alpha
T5,P3,207,alpha
T4,F4,207,alpha
T4,P3,207,alpha
T6,Fp2,207,alpha
P4,F7,207,alpha
P3,T4,207,alpha
T3,T4,207,alpha
T4,Fp1,207,alpha
F8,O1,207,alpha
F8,O2,207,alpha
F7,T4,207,alpha
P4,T3,207,alpha
O2,T3,207,alpha
O2,O1,207,alpha
PZ,P3,206,alpha
O1,T3,206,alpha
O1,FZ,206,alpha
Fp2,P4,206,alpha
O1,F4,206,alpha
O1,CZ,206,alpha
FZ,T6,206,alpha
FZ,T4,206,alpha
C3,CZ,206,alpha
C3,O2,206,alpha
T4,F7,206,alpha
T5,T6,206,alpha
Fp1,P4,206,alpha
C3,F3,206,alpha
CZ,T5,206,alpha
PZ,F4,206,alpha
T3,CZ,206,alpha
P4,Fp1,206,alpha
F7,PZ,206,alpha
P3,F8,206,alpha
P3,T6,206,alpha
T3,O1,206,alpha
F7,C3,206,alpha
O2,F8,206,alpha
T6,CZ,206,alpha
T6,P4,206,alpha
T3,T6,206,alpha
F3,PZ,206,alpha
C4,F8,206,alpha
O1,O2,205,alpha
Fp1,FZ,205,alpha
O2,Fp2,205,alpha
F4,T6,205,alpha
F4,O1,205,alpha
T6,T4,205,alpha
O1,F7,205,alpha
F8,P3,205,alpha
T5,C4,205,alpha
C3,F7,205,alpha
O2,FZ,205,alpha
O1,Fp2,205,alpha
O1,Fp1,205,alpha
O1,T6,205,alpha
O2,T5,205,alpha
O2,CZ,205,alpha
P3,F3,205,alpha
T4,O1,205,alpha
Fp2,O2,204,alpha
F7,O1,204,alpha
FZ,P3,204,alpha
F4,O2,204,alpha
T6,F4,204,alpha
FZ,O2,204,alpha
O1,T4,204,alpha
F3,O1,204,alpha
T5,P4,204,alpha
T3,O2,204,alpha
T3,P3,204,alpha
P3,T3,204,alpha
P3,Fp2,204,alpha
P3,P4,204,alpha
P3,F4,204,alpha
P4,Fp2,204,alpha
P4,T5,204,alpha
PZ,FZ,204,alpha
PZ,T5,203,alpha
T5,T4,203,alpha
PZ,F8,203,alpha
CZ,O2,203,alpha
T6,O1,203,alpha
O2,T6,203,alpha
P3,O2,203,alpha
P3,Fp1,203,alpha
P4,O1,202,alpha
PZ,Fp1,202,alpha
O1,P4,202,alpha
O2,C4,201,alpha
O2,P3,201,alpha
C4,O2,199,alpha
F4,T5,199,alpha
