source,target,frequency,band
Fp2,FZ,213,beta
T4,F4,212,beta
Fp2,F3,212,beta
FZ,Fp2,211,beta
Fp1,F3,211,beta
Fp1,FZ,211,beta
Fp1,C4,210,beta
Fp2,C4,210,beta
Fp2,F4,210,beta
Fp1,C3,210,beta
T4,F8,209,beta
T6,F4,209,beta
PZ,F4,209,beta
FZ,F4,209,beta
F8,CZ,208,beta
T4,C4,208,beta
P4,CZ,208,beta
F4,Fp2,207,beta
PZ,CZ,207,beta
T3,F4,207,beta
T4,CZ,206,beta
P3,F4,206,beta
Fp1,F4,206,beta
CZ,PZ,206,beta
FZ,Fp1,206,beta
Fp2,C3,206,beta
T5,CZ,205,beta
FZ,CZ,205,beta
O2,F4,205,beta
F3,F4,205,beta
O2,CZ,205,beta
F7,CZ,205,beta
Fp2,CZ,205,beta
CZ,C3,204,beta
T5,F4,204,beta
Fp2,O2,204,beta
T6,CZ,204,beta
Fp1,CZ,204,beta
O2,F7,203,beta
Fp1,PZ,203,beta
Fp1,Fp2,203,beta
T4,C3,203,beta
T4,FZ,203,beta
T3,CZ,203,beta
C4,F4,203,beta
F4,CZ,203,beta
F3,Fp1,203,beta
FZ,C3,202,beta
P3,CZ,202,beta
T6,FZ,202,beta
Fp2,PZ,202,beta
F7,F4,202,beta
O2,F8,202,beta
F4,FZ,202,beta
F3,CZ,202,beta
F3,Fp2,202,beta
T4,F7,201,beta
C3,F4,201,beta
T5,F8,201,beta
T6,F8,201,beta
T6,C4,201,beta
F3,C4,201,beta
T3,F8,201,beta
T4,F3,200,beta
F3,C3,200,beta
O1,CZ,200,beta
Fp1,O2,199,beta
P4,F4,199,beta
FZ,C4,199,beta
T6,F3,199,beta
P3,F8,199,beta
PZ,F8,199,beta
O1,F4,199,beta
F4,Fp1,199,beta
O2,C4,198,beta
T3,C4,198,beta
T3,FZ,198,beta
Fp1,P3,198,beta
PZ,F7,198,beta
P3,C4,198,beta
T5,C4,197,beta
F4,F8,197,beta
F8,Fp2,197,beta
F8,F4,197,beta
P4,F8,197,beta
T6,C3,197,beta
C3,CZ,197,beta
T4,T3,196,beta
PZ,F3,196,beta
C4,CZ,196,beta
T6,F7,196,beta
CZ,C4,196,beta
PZ,C4,196,beta
O1,F8,196,beta
F7,FZ,196,beta
T3,T5,196,beta
F7,Fp1,196,beta
Fp2,T3,196,beta
Fp1,T3,196,beta
Fp2,Fp1,196,beta
CZ,Fp2,196,beta
CZ,FZ,195,beta
CZ,F3,195,beta
Fp2,P4,195,beta
O2,FZ,195,beta
F8,Fp1,195,beta
T5,C3,195,beta
FZ,P4,195,beta
T5,F7,195,beta
Fp2,P3,195,beta
F3,P4,195,beta
F8,C3,195,beta
F8,FZ,195,beta
F8,C4,195,beta
PZ,C3,194,beta
C4,F7,194,beta
F3,F8,194,beta
T6,T3,194,beta
Fp1,P4,194,beta
T3,C3,194,beta
T3,F3,194,beta
F7,C4,194,beta
O2,C3,194,beta
CZ,Fp1,194,beta
O2,F3,194,beta
F3,O2,193,beta
F3,F7,193,beta
P3,T5,193,beta
P4,C4,193,beta
F7,Fp2,193,beta
O1,C4,193,beta
FZ,F8,193,beta
FZ,O2,193,beta
T5,FZ,193,beta
FZ,PZ,193,beta
F4,P4,193,beta
F3,FZ,192,beta
F3,PZ,192,beta
T4,O1,192,beta
F8,P4,192,beta
C3,F8,192,beta
T6,P4,191,beta
P4,FZ,191,beta
P4,T6,191,beta
C4,T4,191,beta
P3,C3,191,beta
T3,P4,191,beta
C3,C4,191,beta
F7,F3,191,beta
P4,F7,191,beta
T3,F7,191,beta
C3,FZ,191,beta
P4,C3,190,beta
F8,O2,190,beta
F7,C3,190,beta
CZ,P3,190,beta
F7,PZ,190,beta
F4,O2,190,beta
C4,F8,190,beta
T6,O2,190,beta
FZ,F3,190,beta
F8,PZ,190,beta
T6,PZ,190,beta
C3,T5,189,beta
