source,target,frequency,band
FZ,F8,213,theta
FZ,O1,213,theta
F3,T4,213,theta
F4,T6,213,theta
O1,F7,213,theta
O2,F3,213,theta
F3,Fp2,213,theta
Fp1,T3,213,theta
Fp1,F8,213,theta
Fp2,CZ,213,theta
F7,O1,213,theta
P4,PZ,213,theta
T4,T5,213,theta
T3,T5,213,theta
C3,P3,213,theta
C3,PZ,213,theta
T5,F8,213,theta
T6,P4,212,theta
T5,F3,212,theta
T5,C3,212,theta
T4,F7,212,theta
PZ,CZ,212,theta
FZ,Fp2,212,theta
T6,FZ,212,theta
FZ,T4,212,theta
Fp1,F4,212,theta
FZ,C4,212,theta
F4,O1,212,theta
F3,T3,212,theta
T6,F4,212,theta
F3,CZ,212,theta
T6,F3,212,theta
C3,Fp2,212,theta
C3,Fp1,212,theta
P4,CZ,212,theta
O2,FZ,212,theta
F7,F8,212,theta
FZ,PZ,212,theta
Fp2,T3,212,theta
PZ,Fp2,212,theta
FZ,CZ,212,theta
CZ,C4,212,theta
CZ,F4,212,theta
F3,F4,212,theta
Fp1,CZ,212,theta
Fp2,F3,212,theta
F3,Fp1,212,theta
Fp2,PZ,212,theta
CZ,C3,212,theta
CZ,T3,212,theta
O2,CZ,212,theta
F7,T3,212,theta
C3,F3,212,theta
C4,C3,212,theta
C4,P3,212,theta
C3,T4,212,theta
T3,Fp2,212,theta
T3,F3,212,theta
T4,Fp2,212,theta
T4,FZ,212,theta
T4,CZ,212,theta
C3,FZ,212,theta
C4,F7,212,theta
C4,Fp2,212,theta
T4,T3,212,theta
F3,O1,212,theta
P4,O1,212,theta
P4,C3,212,theta
F8,F7,212,theta
P3,F7,212,theta
F8,O2,212,theta
PZ,P4,212,theta
PZ,C3,212,theta
PZ,F4,212,theta
F8,T6,212,theta
F8,PZ,212,theta
T3,P3,212,theta
T4,Fp1,212,theta
T3,FZ,212,theta
C3,P4,212,theta
C4,T4,212,theta
T5,T4,212,theta
PZ,O2,212,theta
O2,F7,212,theta
F7,PZ,212,theta
Fp1,Fp2,211,theta
PZ,F8,211,theta
F4,F7,211,theta
F4,P3,211,theta
PZ,FZ,211,theta
FZ,O2,211,theta
FZ,P4,211,theta
PZ,F7,211,theta
Fp1,C4,211,theta
FZ,T3,211,theta
FZ,Fp1,211,theta
FZ,F3,211,theta
FZ,C3,211,theta
F3,P4,211,theta
F3,C3,211,theta
F3,PZ,211,theta
F3,T6,211,theta
F4,F8,211,theta
C4,FZ,211,theta
P3,T4,211,theta
P3,T5,211,theta
P4,C4,211,theta
P4,P3,211,theta
F8,T4,211,theta
P3,O1,211,theta
P3,T6,211,theta
P3,C4,211,theta
P4,T3,211,theta
P4,F7,211,theta
T3,O1,211,theta
T4,T6,211,theta
T4,F8,211,theta
T4,F3,211,theta
C4,Fp1,211,theta
C4,T5,211,theta
T5,F7,211,theta
F3,F8,211,theta
T4,PZ,211,theta
C3,C4,211,theta
C4,P4,211,theta
T3,C3,211,theta
F8,FZ,211,theta
T3,O2,211,theta
T3,Fp1,211,theta
F8,O1,211,theta
PZ,Fp1,211,theta
CZ,T6,211,theta
CZ,T4,211,theta
Fp1,P4,211,theta
O1,PZ,211,theta
O1,FZ,211,theta
O1,T3,211,theta
O1,F4,211,theta
F7,O2,211,theta
F8,C3,211,theta
F8,Fp1,211,theta
F7,CZ,211,theta
C4,CZ,211,theta
F7,T4,211,theta
F7,F4,211,theta
O2,F8,211,theta
C4,PZ,211,theta
Fp2,T6,211,theta
CZ,F3,211,theta
Fp2,FZ,211,theta
CZ,F7,211,theta
CZ,P3,211,theta
CZ,Fp1,211,theta
CZ,Fp2,211,theta
Fp1,FZ,211,theta
Fp2,T4,211,theta
Fp2,O2,211,theta
Fp2,O1,211,theta
Fp2,C3,211,theta
Fp2,F4,211,theta
Fp2,C4,211,theta
Fp1,T4,211,theta
Fp1,O1,210,theta
Fp1,O2,210,theta
Fp1,PZ,210,theta
Fp1,T6,210,theta
CZ,PZ,210,theta
CZ,O1,210,theta
Fp2,Fp1,210,theta
Fp2,P3,210,theta
Fp2,P4,210,theta
Fp2,F8,210,theta
Fp2,T5,210,theta
FZ,T6,210,theta
CZ,FZ,210,theta
CZ,F8,210,theta
O1,Fp2,210,theta
O1,P4,210,theta
P4,T6,210,theta
PZ,O1,210,theta
PZ,P3,210,theta
PZ,C4,210,theta
O2,P3,210,theta
O2,O1,210,theta
O2,C3,210,theta
O2,Fp1,210,theta
O1,CZ,210,theta
O1,T6,210,theta
O1,T5,210,theta
O2,T6,210,theta
O1,T4,210,theta
F4,O2,210,theta
F4,CZ,210,theta
T4,C3,210,theta
