source,target,frequency,band
PZ,CZ,193,delta
Fp1,F4,193,delta
Fp1,P3,193,delta
PZ,FZ,193,delta
Fp1,P4,193,delta
FZ,T4,193,delta
PZ,F7,193,delta
Fp1,F8,193,delta
FZ,Fp2,193,delta
FZ,F4,193,delta
FZ,O2,193,delta
F4,F8,193,delta
F4,Fp1,193,delta
F4,T6,193,delta
F4,T5,193,delta
F4,T4,193,delta
F4,F3,193,delta
F4,C3,193,delta
F4,PZ,193,delta
C3,Fp1,193,delta
T6,F4,193,delta
T6,P4,193,delta
FZ,C4,193,delta
FZ,C3,193,delta
F4,P3,193,delta
C3,C4,193,delta
C3,F4,193,delta
C3,Fp2,193,delta
P4,T3,193,delta
P3,PZ,193,delta
P3,T4,193,delta
P3,F8,193,delta
P3,F4,193,delta
O2,C3,193,delta
O2,Fp1,193,delta
O1,FZ,193,delta
P3,F7,193,delta
P3,C3,193,delta
P3,F3,193,delta
P3,CZ,193,delta
C4,F7,193,delta
C3,FZ,193,delta
C3,PZ,193,delta
C3,CZ,193,delta
C4,Fp1,193,delta
C4,F3,193,delta
C3,O1,193,delta
C4,P3,193,delta
C4,T6,193,delta
P3,Fp1,193,delta
C4,F4,193,delta
C4,C3,193,delta
F3,T6,193,delta
C4,T4,193,delta
F3,T5,193,delta
F3,F8,193,delta
T4,Fp1,193,delta
T4,Fp2,193,delta
T4,F3,193,delta
T4,F4,193,delta
T3,P3,193,delta
T3,O2,193,delta
T3,F8,193,delta
F8,CZ,193,delta
F8,O2,193,delta
T3,F4,193,delta
T3,C4,193,delta
PZ,P3,193,delta
PZ,F3,193,delta
F8,T6,193,delta
F8,T3,193,delta
F8,F7,193,delta
PZ,Fp1,193,delta
CZ,PZ,193,delta
PZ,Fp2,193,delta
CZ,FZ,193,delta
PZ,C4,193,delta
Fp1,T6,193,delta
F3,P3,193,delta
F3,P4,193,delta
CZ,Fp2,193,delta
CZ,F3,193,delta
F3,Fp2,193,delta
F3,F4,193,delta
CZ,Fp1,193,delta
CZ,F7,193,delta
F7,F3,193,delta
F7,P4,193,delta
T4,F8,193,delta
F8,Fp1,193,delta
F8,F3,193,delta
F7,T5,193,delta
F7,T3,193,delta
F7,F8,193,delta
F8,C4,193,delta
F8,C3,193,delta
F7,O1,193,delta
F7,P3,193,delta
T3,FZ,193,delta
O2,FZ,193,delta
T4,FZ,193,delta
T4,C3,193,delta
T5,Fp2,193,delta
T4,C4,193,delta
T5,F3,193,delta
T4,T3,193,delta
T5,O2,193,delta
T5,P4,193,delta
T5,Fp1,193,delta
T5,F7,193,delta
T5,T3,193,delta
T5,FZ,193,delta
O1,Fp1,193,delta
O1,Fp2,193,delta
O1,F3,193,delta
O1,F8,193,delta
O1,F7,193,delta
O1,P3,193,delta
O1,C4,193,delta
O2,F3,193,delta
Fp2,F3,193,delta
Fp2,O2,193,delta
Fp1,T5,193,delta
Fp2,P3,193,delta
Fp2,C3,193,delta
Fp2,C4,193,delta
Fp2,FZ,193,delta
Fp2,T4,193,delta
CZ,P3,193,delta
CZ,C4,193,delta
P4,T6,192,delta
P4,F3,192,delta
P4,P3,192,delta
P4,C4,192,delta
P4,F4,192,delta
P3,T3,192,delta
P4,F8,192,delta
P4,T4,192,delta
P4,T5,192,delta
P4,Fp2,192,delta
F3,T4,192,delta
F3,T3,192,delta
F3,FZ,192,delta
C4,F8,192,delta
C4,Fp2,192,delta
C3,T6,192,delta
C3,P3,192,delta
C3,P4,192,delta
C3,F8,192,delta
C3,T4,192,delta
P4,O1,192,delta
P4,O2,192,delta
C4,T5,192,delta
C4,FZ,192,delta
C4,P4,192,delta
C4,O2,192,delta
PZ,O2,192,delta
FZ,Fp1,192,delta
T6,CZ,192,delta
T6,PZ,192,delta
PZ,F8,192,delta
Fp1,O2,192,delta
Fp1,F3,192,delta
Fp1,C3,192,delta
Fp1,Fp2,192,delta
FZ,P3,192,delta
FZ,P4,192,delta
FZ,O1,192,delta
FZ,F3,192,delta
F4,CZ,192,delta
F4,FZ,192,delta
T6,P3,192,delta
T6,F7,192,delta
T6,T3,192,delta
T6,Fp1,192,delta
T6,F3,192,delta
T6,O2,192,delta
T6,O1,192,delta
T6,C4,192,delta
C3,F3,192,delta
F4,T3,192,delta
F4,O2,192,delta
F4,O1,192,delta
F4,C4,192,delta
O2,Fp2,192,delta
O2,F7,192,delta
O2,F4,192,delta
O2,C4,192,delta
P3,O1,192,delta
P3,FZ,192,delta
P3,C4,192,delta
P3,P4,192,delta
P3,Fp2,192,delta
P4,Fp1,192,delta
F7,CZ,192,delta
F7,F4,192,delta
T4,P4,192,delta
F7,T4,192,delta
T4,O2,192,delta
T4,F7,192,delta
F7,PZ,192,delta
F8,Fp2,192,delta
T5,C4,192,delta
T5,P3,192,delta
O1,P4,192,delta
O1,C3,192,delta
O1,T3,192,delta
P4,FZ,192,delta
T5,F8,192,delta
T5,C3,192,delta
T4,T6,192,delta
T4,CZ,192,delta
T4,T5,192,delta
T4,PZ,192,delta
F7,T6,192,delta
F7,FZ,192,delta
T3,PZ,192,delta
T3,CZ,192,delta
O2,CZ,192,delta
O2,T6,192,delta
O2,T5,192,delta
F7,Fp2,192,delta
F7,C4,192,delta
F7,C3,192,delta
T3,Fp2,192,delta
F8,PZ,192,delta
T3,T4,192,delta
CZ,T3,192,delta
F8,FZ,192,delta
PZ,C3,192,delta
F8,P4,192,delta
F8,O1,192,delta
CZ,C3,192,delta
PZ,P4,192,delta
Fp1,T4,192,delta
CZ,F4,192,delta
CZ,P4,192,delta
CZ,F8,192,delta
FZ,T5,192,delta
FZ,T6,192,delta
F3,C3,192,delta
Fp2,O1,192,delta
Fp2,T5,192,delta
F3,Fp1,192,delta
Fp1,FZ,192,delta
Fp1,CZ,192,delta
Fp1,PZ,192,delta
Fp2,Fp1,192,delta
Fp2,P4,191,delta
Fp2,F7,191,delta
Fp2,T6,191,delta
FZ,PZ,191,delta
F3,C4,191,delta
Fp2,CZ,191,delta
CZ,O1,191,delta
F3,O2,191,delta
T3,O1,191,delta
T3,F7,191,delta
O2,T3,191,delta
T3,Fp1,191,delta
PZ,F4,191,delta
CZ,O2,191,delta
T3,T6,191,delta
T3,F3,191,delta
T3,P4,191,delta
P4,PZ,191,delta
T5,CZ,191,delta
T5,T6,191,delta
T5,PZ,191,delta
P4,CZ,191,delta
T5,O1,191,delta
T5,T4,191,delta
T4,O1,191,delta
T4,P3,191,delta
F8,F4,191,delta
F8,P3,191,delta
O2,PZ,191,delta
O2,T4,191,delta
F8,T5,191,delta
Fp1,C4,191,delta
T6,T5,191,delta
FZ,F7,191,delta
Fp1,T3,191,delta
PZ,T3,191,delta
PZ,T4,191,delta
F3,F7,191,delta
F4,P4,191,delta
F4,F7,191,delta
F3,PZ,191,delta
F4,Fp2,191,delta
T6,Fp2,191,delta
O1,T5,191,delta
O1,O2,191,delta
O1,F4,191,delta
P4,C3,191,delta
P3,T6,191,delta
P4,F7,191,delta
O1,CZ,191,delta
O2,P3,191,delta
P3,O2,191,delta
O2,F8,191,delta
O2,O1,191,delta
P3,T5,191,delta
F3,CZ,191,delta
C4,CZ,191,delta
C4,PZ,191,delta
C4,T3,191,delta
C3,T5,191,delta
C3,F7,191,delta
C3,O2,191,delta
T6,T4,191,delta
T6,C3,191,delta
T6,F8,191,delta
C3,T3,190,delta
PZ,O1,190,delta
O2,P4,190,delta
O1,T6,190,delta
F8,T4,190,delta
Fp2,T3,190,delta
Fp2,PZ,190,delta
Fp2,F4,190,delta
Fp2,F8,190,delta
FZ,CZ,190,delta
CZ,T5,190,delta
CZ,T4,190,delta
T3,T5,190,delta
PZ,T5,190,delta
Fp1,O1,190,delta
T6,FZ,190,delta
O1,T4,190,delta
F7,Fp1,190,delta
F7,O2,190,delta
T5,F4,190,delta
C4,O1,190,delta
FZ,F8,190,delta
F3,O1,189,delta
T3,C3,189,delta
O1,PZ,188,delta
Fp1,F7,188,delta
FZ,T3,188,delta
PZ,T6,188,delta
CZ,T6,186,delta
