source,target,frequency,band
F7,F3,190,gamma
F3,F7,189,gamma
Fp2,FZ,186,gamma
FZ,Fp2,185,gamma
CZ,O1,184,gamma
Fp1,F3,184,gamma
O1,CZ,183,gamma
T5,T4,180,gamma
O1,FZ,178,gamma
FZ,O1,178,gamma
O1,PZ,178,gamma
F7,CZ,177,gamma
O2,Fp1,177,gamma
F3,O1,177,gamma
P4,O2,176,gamma
P4,T6,176,gamma
FZ,P3,176,gamma
O1,O2,176,gamma
Fp1,O1,175,gamma
Fp1,F7,175,gamma
PZ,F3,175,gamma
F7,O2,175,gamma
FZ,F8,175,gamma
O1,Fp1,175,gamma
O2,F7,175,gamma
T3,Fp1,175,gamma
Fp1,CZ,175,gamma
Fp1,PZ,175,gamma
Fp2,C3,175,gamma
C4,T6,175,gamma
F7,PZ,175,gamma
F3,Fp1,174,gamma
T4,T5,174,gamma
CZ,FZ,174,gamma
O1,F8,174,gamma
CZ,Fp1,173,gamma
FZ,PZ,173,gamma
FZ,F4,173,gamma
PZ,O1,173,gamma
CZ,F7,173,gamma
CZ,F3,173,gamma
F7,Fp1,173,gamma
P3,O1,173,gamma
T5,Fp1,173,gamma
O2,F3,173,gamma
PZ,FZ,172,gamma
F4,FZ,172,gamma
PZ,Fp1,172,gamma
CZ,T6,172,gamma
Fp1,T5,172,gamma
F8,FZ,172,gamma
Fp1,O2,172,gamma
F8,F3,172,gamma
O2,FZ,172,gamma
C4,P4,172,gamma
F3,PZ,172,gamma
O2,O1,171,gamma
F3,F8,171,gamma
O2,T3,171,gamma
F7,F8,171,gamma
C4,O2,171,gamma
O1,Fp2,171,gamma
P4,C4,171,gamma
FZ,Fp1,171,gamma
FZ,CZ,171,gamma
Fp1,C3,171,gamma
Fp1,P4,171,gamma
PZ,T6,171,gamma
CZ,O2,171,gamma
F4,O1,171,gamma
Fp1,P3,171,gamma
O1,F3,171,gamma
CZ,Fp2,170,gamma
P3,T6,170,gamma
Fp2,O1,170,gamma
P3,Fp1,170,gamma
F7,FZ,170,gamma
F7,P3,170,gamma
CZ,C4,170,gamma
CZ,PZ,170,gamma
FZ,O2,170,gamma
T6,F7,170,gamma
F7,F4,170,gamma
F7,O1,170,gamma
O1,T6,169,gamma
FZ,F7,169,gamma
O2,F8,169,gamma
C4,T3,169,gamma
F3,C3,169,gamma
F3,O2,169,gamma
P4,Fp2,169,gamma
O1,F7,169,gamma
C4,F8,169,gamma
C4,PZ,169,gamma
T6,PZ,169,gamma
P3,F7,169,gamma
Fp1,F4,169,gamma
F3,CZ,168,gamma
F3,T5,168,gamma
CZ,T5,168,gamma
FZ,F3,168,gamma
C3,O1,168,gamma
F8,Fp2,168,gamma
O2,Fp2,168,gamma
P4,FZ,168,gamma
T3,F7,168,gamma
FZ,T5,168,gamma
