u,v,weight,betweenness
0,1,0.43708611,0.022222222222222223
0,2,0.95564288,0.08888888888888889
0,3,0.75879455,0.044444444444444446
0,4,0.63879264,0.022222222222222223
0,5,0.24041678,0.0
0,6,0.24039507,0.0
0,7,0.15227525,0.0
0,8,0.87955853,0.06666666666666667
0,9,0.64100351,0.044444444444444446
1,2,0.73726532,0.044444444444444446
1,3,0.11852604,0.0
1,4,0.97291887,0.08888888888888889
1,5,0.84919838,0.08888888888888889
1,6,0.2911052,0.0
1,7,0.26364247,0.0
1,8,0.26506406,0.0
1,9,0.37381802,0.0
2,3,0.57228079,0.022222222222222223
2,4,0.48875052,0.022222222222222223
2,5,0.36210623,0.0
2,6,0.65066761,0.06666666666666667
2,7,0.22554447,0.0
2,8,0.36293018,0.0
2,9,0.42972566,0.044444444444444446
3,4,0.51046299,0.022222222222222223
3,5,0.80665837,0.11111111111111112
3,6,0.2797064,0.0
3,7,0.56281099,0.022222222222222223
3,8,0.63317311,0.022222222222222223
3,9,0.14180537,0.0
4,5,0.64679037,0.06666666666666667
4,6,0.25347171,0.0
4,7,0.15854643,0.0
4,8,0.95399698,0.11111111111111112
4,9,0.96906883,0.13333333333333333
5,6,0.82755761,0.08888888888888889
5,7,0.37415239,0.0
5,8,0.1879049,0.0
5,9,0.71580972,0.06666666666666667
6,7,0.49613724,0.022222222222222223
6,8,0.20983441,0.0
6,9,0.54565922,0.022222222222222223
7,8,0.13094967,0.0
7,9,0.91838836,0.15555555555555556
8,9,0.33290198,0.0
